scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,undiscounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,1,-7.800000000000001,6.5,-7.800000000000001,6.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,2,-14.430000000000001,12.024999999999999,-15.600000000000001,13.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,3,-20.0655,16.721249999999998,-23.400000000000002,19.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,4,-24.855674999999998,20.713062499999996,-31.200000000000003,26.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,5,-28.92732375,24.106103124999997,-39.0,32.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,6,-32.3882251875,26.990187656249997,-46.8,39.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,7,-35.329991409375,29.441659507812496,-54.599999999999994,45.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,8,-37.83049269796875,31.52541058164062,-62.39999999999999,52.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,9,-39.95591879327344,33.29659899439453,-70.19999999999999,58.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,10,-41.76253097428243,34.80210914523535,-77.99999999999999,65.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,11,-43.298151328140065,36.08179277345005,-85.79999999999998,71.5,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,12,-44.603428628919055,37.16952385743254,-93.59999999999998,78.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,13,-45.7129143345812,38.094095278817655,-101.39999999999998,84.5,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,14,-46.65597718439402,38.87998098699501,-109.19999999999997,91.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,15,-47.457580606734915,39.547983838945754,-116.99999999999997,97.5,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,1,-5.925000000000001,2.3000000000000007,-5.925000000000001,2.3000000000000007,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,2,-10.961250000000001,4.255000000000001,-11.850000000000001,4.600000000000001,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,3,-15.242062500000001,5.916750000000001,-17.775000000000002,6.900000000000002,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,4,-18.880753125000002,7.329237500000001,-23.700000000000003,9.200000000000003,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,5,-21.973640156250003,8.529851875000002,-29.625000000000004,11.500000000000004,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,6,-24.602594132812502,9.550374093750003,-35.550000000000004,13.800000000000004,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,7,-26.837205012890628,10.417817979687504,-41.47500000000001,16.100000000000005,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,8,-28.736624260957033,11.155145282734379,-47.400000000000006,18.400000000000006,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,9,-30.35113062181348,11.781873490324223,-53.325,20.700000000000006,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,10,-31.723461028541458,12.31459246677559,-59.25,23.000000000000007,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,11,-32.88994187426024,12.767403596759252,-65.175,25.300000000000008,1.0,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,12,-33.8814505931212,13.152293057245364,-71.1,27.60000000000001,1.0,0.65,0.0
