seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,1,-328.8,445.0,-773.8,0.15441531036049128,0.13182217068970203,1.8778681755065918
0,2,-388.8,474.2,-863.0,-0.013928936794400215,-0.01649831235408783,3.724447011947632
0,3,-428.06666666666666,533.2,-961.2666666666667,-0.014950405806303024,-0.015070915222167969,5.593278884887695
0,4,-421.8,515.9,-937.7,-0.01938210055232048,-0.01184949278831482,7.505000114440918
0,5,-417.2,502.76,-919.96,-0.01870659738779068,-0.02083687111735344,9.383127927780151
0,6,-388.2,429.8,-818.0,-0.012914393097162247,-0.01142696663737297,11.233805894851685
0,7,-416.2,467.7142857142857,-883.9142857142857,-0.016681848093867302,-0.011249971110373735,13.11274003982544
0,8,-421.75,480.5,-902.25,-0.014593497850000858,-0.01578107289969921,14.990691900253296
0,9,-420.54347826086956,484.8478260869565,-905.3913043478261,-0.017788873810786754,-0.0178031618706882,16.86432671546936
0,10,-413.6078431372549,481.7450980392157,-895.3529411764706,-0.010318665765225887,-0.01390756480395794,18.734511613845825
0,11,-408.48214285714283,478.26785714285717,-886.75,-0.012898119166493416,-0.014415128156542778,20.57404851913452
0,12,-393.0327868852459,455.26229508196724,-848.2950819672132,-0.016451277770102024,-0.011241573374718428,22.436577558517456
0,13,-392.8181818181818,441.6363636363636,-834.4545454545455,-0.014199040830135345,-0.013439886271953583,24.295841455459595
0,14,-403.67605633802816,464.71830985915494,-868.3943661971831,-0.015832535922527313,-0.012304652482271194,26.18778347969055
0,15,-409.9342105263158,473.5,-883.4342105263158,-0.02717050351202488,-0.01172001229133457,28.111964464187622
0,16,-415.8395061728395,495.6666666666667,-911.5061728395061,-0.014133080840110779,-0.016696903854608536,29.97143864631653
0,17,-404.95402298850576,492.4367816091954,-897.3908045977012,-0.01956714317202568,-0.012211605906486511,31.827808380126953
0,18,-377.8478260869565,470.5326086956522,-848.3804347826087,-0.008938975632190704,-0.013445019721984863,33.67961835861206
0,19,-366.319587628866,468.11340206185565,-834.4329896907217,-0.01715719699859619,-0.012852041982114315,35.54832434654236
0,20,-362.6,463.31,-825.91,-0.009876084048300982,-0.013860016711987555,37.41513514518738
0,21,-346.08,455.6,-801.68,-0.015551948919892311,-0.005996981635689735,39.277348279953
0,22,-340.15,449.41,-789.56,-0.01477607898414135,-0.012007079785689712,41.12791705131531
0,23,-326.13,437.34,-763.47,-0.014698505401611328,-0.0218193382024765,42.9732780456543
0,24,-316.67,443.94,-760.61,-0.006457502022385597,-0.008144397288560867,44.87025785446167
0,25,-313.17,454.34,-767.51,-0.018785644322633743,-0.009780928492546082,46.7420449256897
0,26,-311.21,476.13,-787.34,-0.008241243660449982,-0.01967460662126541,48.60405683517456
0,27,-296.12,475.28,-771.4,-0.017752744257450104,-0.011981751769781113,50.44753909111023
0,28,-279.19,458.87,-738.06,-0.009456085041165352,-0.014316435903310776,52.36765003204346
0,29,-263.43,461.44,-724.87,-0.014652706682682037,-0.009742215275764465,54.24439597129822
0,30,-246.42,461.57,-707.99,-0.014428172260522842,-0.015269163995981216,56.121766090393066
0,31,-248.84,475.04,-723.88,-0.0134638212621212,-0.020167458802461624,57.98191785812378
0,32,-245.94,483.09,-729.03,-0.014089442789554596,-0.014926478266716003,59.838908672332764
0,33,-224.36,470.73,-695.09,-0.010738391429185867,-0.01121123880147934,61.68263339996338
0,34,-212.98,475.51,-688.49,-0.009136008098721504,-0.013047851622104645,63.527929067611694
0,35,-189.05,447.9,-636.95,-0.011658899486064911,-0.013159975409507751,65.40413117408752
0,36,-177.73,441.64,-619.37,-0.018755242228507996,-0.011830873787403107,67.28703713417053
0,37,-188.28,464.29,-652.57,-0.011605415493249893,-0.015920013189315796,69.16767811775208
0,38,-186.33,465.6,-651.93,-0.013403577730059624,-0.012488871812820435,71.02268123626709
0,39,-194.56,476.89,-671.45,-0.009633887559175491,-0.007821903331205249,72.87140035629272
0,40,-210.42,505.84,-716.26,-0.007478248327970505,-0.010556485503911972,74.75385618209839
0,41,-212.14,508.9,-721.04,-0.008801793679594994,-0.011361315846443176,76.62009525299072
0,42,-190.78,506.71,-697.49,-0.007704246789216995,-0.01288706436753273,78.49720525741577
0,43,-171.69,478.53,-650.22,-0.011442940682172775,-0.011412277817726135,80.34426236152649
0,44,-154.31,473.04,-627.35,-0.010874375700950623,-0.011463358998298645,82.19089531898499
0,45,-160.41,492.36,-652.77,-0.006806659512221813,-0.010391982272267342,84.0587112903595
0,46,-147.39,469.59,-616.98,-0.012067850679159164,-0.009576520416885614,85.93478894233704
0,47,-147.94,478.51,-626.45,-0.01130436360836029,-0.016018064692616463,87.81920576095581
0,48,-153.06,495.56,-648.62,-0.014707975089550018,-0.010159172117710114,89.66458559036255
0,49,-133.23,464.26,-597.49,-0.014290165156126022,-0.010732259601354599,91.51437067985535
0,50,-142.85,483.38,-626.23,-0.010900593013502657,-0.015811948338523507,93.37367987632751
0,51,-126.56,467.06,-593.62,-0.00957886129617691,-0.01435203105211258,95.22942090034485
0,52,-128.48,460.17,-588.65,-0.019167229533195496,-0.012135222554206848,97.07858777046204
0,53,-122.77,460.32,-583.09,-0.014719661325216293,-0.006491612643003464,98.93729448318481
0,54,-111.18,452.63,-563.81,-0.018938621040433645,-0.012696005403995514,100.79464340209961
0,55,-120.03,466.28,-586.31,-0.01736260950565338,-0.011603854596614838,102.64644622802734
0,56,-109.75,446.01,-555.76,-0.008906915783882141,-0.010668762028217316,104.53968214988708
0,57,-106.45,444.86,-551.31,-0.011942774057388306,-0.01111232116818428,106.41275906562805
0,58,-100.47,428.07,-528.54,-0.00961541198194027,-0.010353710502386093,108.28662347793579
0,59,-83.5,408.35,-491.85,-0.008075058460235596,-0.012643162161111832,110.13286638259888
0,60,-86.98,397.28,-484.26,-0.016354478895664215,-0.010432451963424683,111.97632026672363
0,61,-87.29,391.12,-478.41,-0.009341082535684109,-0.01528177224099636,113.84494423866272
0,62,-100.16,403.06,-503.22,-0.008016228675842285,-0.013385822996497154,115.71004033088684
0,63,-111.03,385.13,-496.16,-0.004877718165516853,-0.014260955154895782,117.56432032585144
0,64,-122.85,370.02,-492.87,-0.010700978338718414,-0.011981552466750145,119.41788649559021
0,65,-135.9,388.43,-524.33,-0.013073336333036423,-0.007590649649500847,121.26449537277222
0,66,-149.15,390.85,-540.0,-0.009164122864603996,-0.00934552401304245,123.10963153839111
0,67,-159.13,379.25,-538.38,-0.010524213314056396,-0.008114784955978394,124.99178647994995
0,68,-165.44,381.41,-546.85,-0.010006222873926163,-0.012865258380770683,126.87063550949097
