episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack,parameter_name,parameter_value
0,0,0,1,1,0,0.5,0.6120784282684326,0.014007886871695518,T,10
0,0,1,1,1,0,0.5,0.567025363445282,0.01646985113620758,T,10
0,0,2,0,0,0,0.5,0.4561764895915985,0.018167708069086075,T,10
0,0,3,0,0,0,0.5,0.34936803579330444,0.0195858646184206,T,10
0,0,4,1,1,0,0.5,0.6760007739067078,0.00836284551769495,T,10
0,1,0,1,1,0,0.20000000298023224,0.69111168384552,0.001132346224039793,T,10
0,1,1,1,1,0,0.20000000298023224,0.6546671986579895,0.0009347216691821814,T,10
0,1,2,0,0,0,0.800000011920929,0.38962870836257935,0.001889687031507492,T,10
0,1,3,0,0,0,0.800000011920929,0.1847827285528183,0.0025565444957464933,T,10
0,1,4,1,1,0,0.20000000298023224,0.7826787233352661,0.0007423837087117136,T,10
0,2,0,1,1,0,0.09734101593494415,0.7552387714385986,0.0005074674845673144,T,10
0,2,1,1,1,0,0.09734101593494415,0.6953187584877014,0.0003156032762490213,T,10
0,2,2,0,0,0,0.902658998966217,0.3384455442428589,0.0010208174353465438,T,10
0,2,3,0,0,0,0.902658998966217,0.0843186303973198,0.0014522583223879337,T,10
0,2,4,1,1,0,0.09734101593494415,0.8520578742027283,0.0004006011295132339,T,10
0,3,0,1,1,0,0.060818564146757126,0.7950382828712463,0.0003841735888272524,T,10
0,3,1,1,1,0,0.060818564146757126,0.6555837988853455,0.0002012435143114999,T,10
0,3,2,0,0,0,0.9391814470291138,0.2896405756473541,0.0008808193961158395,T,10
0,3,3,0,0,0,0.9391814470291138,0.04336397722363472,0.001201239530928433,T,10
0,3,4,1,1,0,0.060818564146757126,0.8581078052520752,0.00032525532878935337,T,10
0,4,0,1,1,0,0.04537151753902435,0.7661594748497009,0.00033124166657216847,T,10
0,4,1,1,1,0,0.04537151753902435,0.5451399087905884,0.0001689714554231614,T,10
0,4,2,0,0,0,0.9546284675598145,0.23146039247512817,0.000847312156111002,T,10
0,4,3,0,0,0,0.9546284675598145,0.026524817571043968,0.0010291938669979572,T,10
0,4,4,1,1,0,0.04537151753902435,0.8731212019920349,0.00029965321300551295,T,10
0,5,0,1,1,0,0.03790419548749924,0.7020685076713562,0.00031559544731862843,T,10
0,5,1,1,0,0,0.03790419548749924,0.4166589677333832,0.0001467908441554755,T,10
0,5,2,0,0,0,0.9620957970619202,0.17358656227588654,0.0008496782393194735,T,10
0,5,3,0,0,0,0.9620957970619202,0.017768487334251404,0.0009550661197863519,T,10
0,5,4,1,1,0,0.03790419548749924,0.8740663528442383,0.0002828224969562143,T,10
0,6,0,1,1,0,0.033965762704610825,0.632056474685669,0.0002774912863969803,T,10
0,6,1,1,0,0,0.3600245714187622,0.3241804838180542,0.00014503182319458574,T,10
0,6,2,0,0,0,0.9660342335700989,0.15625861287117004,0.0009246463305316865,T,10
