variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
SG-MAPPO,1,10.742485046386719,1100,121.54545454545455,100.0,12.909090909090908,108.63636363636364,-0.031668626185920506,-0.04691790913542112,3.373254007763333,3.4019713468021817
SG-MAPPO,2,19.784832000732422,2200,-20.363636363636363,100.0,168.0909090909091,-188.45454545454547,-0.05555385862114943,-0.043241936428886324,3.3488709065649243,3.391411383946737
SG-MAPPO,3,28.85669994354248,3300,-199.06060606060606,100.0,344.57575757575756,-543.6363636363636,-0.03883998632793211,-0.05475214240141213,3.330645422140757,3.3866216176086
SG-MAPPO,4,37.93845009803772,4400,-207.0909090909091,100.0,358.3863636363636,-565.4772727272727,-0.09307718835771084,-0.03624359213669474,3.351324088043637,3.3458462589316897
SG-MAPPO,5,46.991411209106445,5500,-240.8,100.0,390.7090909090909,-631.5090909090909,-0.09258186636078689,-0.03161232538534225,3.3197929792933993,3.3537583152453103
SG-MAPPO,6,56.08778929710388,6600,-294.1060606060606,100.0,445.8787878787879,-739.9848484848485,-0.057133356756013304,-0.061223247418335326,3.259608917766147,3.340528087483512
SG-MAPPO,7,65.24737739562988,7700,-322.9220779220779,100.0,474.5064935064935,-797.4285714285714,-0.051064207904144295,-0.0707672580675636,3.2723832892047033,3.3192828628751965
SG-MAPPO,8,74.45456647872925,8800,-334.375,100.0,501.15909090909093,-835.5340909090909,-0.04537375919365635,-0.08570066591103871,3.3381263282563953,3.2863442500432334
SG-MAPPO,9,83.48784065246582,9900,-336.2020202020202,100.0,510.6666666666667,-846.8686868686868,-0.08847552788857785,-0.045640537023751274,3.2918820016913943,3.2643953462441764
SG-MAPPO,10,92.76524448394775,11000,-386.57,100.0,566.61,-953.18,-0.07121167582873669,-0.07025315281417635,3.2510954406526356,3.2682069606251187
SG-MAPPO,11,101.9079942703247,12100,-406.3,100.0,595.73,-1002.03,-0.05278731965356403,-0.08384757975323333,3.249315960539712,3.229261335399416
SG-MAPPO,12,111.06496596336365,13200,-380.74,100.0,578.0,-958.74,-0.09310790422993402,-0.05382407159130606,3.2068488034937115,3.245804293288125
SG-MAPPO,13,120.17594313621521,14300,-368.66,100.0,572.19,-940.85,-0.0826179250014118,-0.0576090726794468,3.2067160606384277,3.2435641288757324
SG-MAPPO,14,129.41507124900818,15400,-384.36,100.0,591.56,-975.92,-0.10525687397845711,-0.03692899856509434,3.1650742325517864,3.235741413301892
