variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
SG-MATRPO,1,10.245680093765259,1100,121.54545454545455,100.0,12.909090909090908,108.63636363636364,0.003881301041002627,-0.011334896363593914,3.3819586325574806,3.406608040686007
SG-MATRPO,2,20.631899118423462,2200,-26.454545454545453,100.0,173.63636363636363,-200.0909090909091,-0.02087938826945093,-0.023678818070847128,3.3561194627373307,3.4078296732019493
SG-MATRPO,3,30.770114183425903,3300,-193.12121212121212,100.0,342.3636363636364,-535.4848484848485,-0.022306057883219585,-0.02651712043141877,3.317988329463535,3.3938204690262124
SG-MATRPO,4,40.96115827560425,4400,-210.77272727272728,100.0,353.1818181818182,-563.9545454545455,-0.05456491242404337,-0.017682498631378014,3.3144078563760826,3.3992333809534707
SG-MATRPO,5,51.24277329444885,5500,-250.85454545454544,100.0,396.9818181818182,-647.8363636363637,-0.060502162548127,-0.004257488029974478,3.256171065348166,3.41425621509552
SG-MATRPO,6,61.54009699821472,6600,-312.6969696969697,100.0,453.27272727272725,-765.969696969697,-0.028761088261725725,-0.03215693803159175,3.2623952627182007,3.4063969828464367
SG-MATRPO,7,71.65176892280579,7700,-349.38961038961037,100.0,484.7142857142857,-834.1038961038961,-0.020794403536624654,-0.0437413866252259,3.2819260071825096,3.402342454150871
SG-MATRPO,8,81.9201250076294,8800,-367.7386363636364,100.0,506.7386363636364,-874.4772727272727,-0.0025144486032702305,-0.0505373354104382,3.2980200758686773,3.3902651601367526
SG-MATRPO,9,92.10349988937378,9900,-372.80808080808083,100.0,511.949494949495,-884.7575757575758,-0.052977198665892636,-0.01272263350310149,3.3100713314833463,3.382426352412612
SG-MATRPO,10,102.35096573829651,11000,-426.71,100.0,563.12,-989.83,-0.014559352716551748,-0.03552710407422165,3.244075459462625,3.3750420897095292
SG-MATRPO,11,112.48391771316528,12100,-448.63,100.0,576.55,-1025.18,-0.011821313588707536,-0.04993463583566524,3.2667688616999873,3.3555209967825146
SG-MATRPO,12,122.65704274177551,13200,-428.9,100.0,557.57,-986.47,-0.06917407839662498,-0.0072975626336065705,3.2688278511718467,3.3549586048832647
SG-MATRPO,13,132.7849097251892,14300,-414.1,100.0,543.03,-957.13,-0.03847856391911154,-0.03402653529688164,3.2616216319578664,3.3467949010707714
SG-MATRPO,14,143.0253026485443,15400,-420.82,100.0,541.73,-962.55,-0.06371213616458354,0.00015190924966224917,3.2219809227519565,3.333948830763499
SG-MATRPO,15,153.19895362854004,16500,-378.07,100.0,508.9,-886.97,-0.05933264495494465,0.0040840089528097045,3.2290230746622437,3.3206182563746416
SG-MATRPO,16,163.31821084022522,17600,-378.08,100.0,518.49,-896.57,-0.04869056848326215,-0.02473792017230557,3.176336133921588,3.3168793938778065
SG-MATRPO,17,174.07840180397034,18700,-350.8,100.0,493.22,-844.02,-0.052837142824298806,-0.018240810682376225,3.2050624423556857,3.30983074064608
