episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,0,1,0.5,0.45339226722717285,0.6580513119697571
0,0,1,0,1,1,0.5,0.6133134961128235,0.5945520401000977
0,0,2,0,1,1,0.5,0.5058430433273315,0.5762054920196533
0,0,3,1,1,1,0.5,0.6064172983169556,0.5344272255897522
0,0,4,1,1,0,0.5,0.6994339823722839,0.42643824219703674
0,1,0,0,0,0,0.800000011920929,0.45570236444473267,0.3682507872581482
0,1,1,0,1,1,0.20000000298023224,0.683313250541687,0.671143114566803
0,1,2,0,0,1,0.20000000298023224,0.4933740198612213,0.7406962513923645
0,1,3,1,0,0,0.20000000298023224,0.39773207902908325,0.36346304416656494
0,1,4,1,1,0,0.20000000298023224,0.7154726982116699,0.34756824374198914
0,2,0,0,0,0,0.902658998966217,0.19687600433826447,0.30120471119880676
0,2,1,0,0,1,0.09734101593494415,0.48868754506111145,0.5379189252853394
0,2,2,0,1,1,0.6330826282501221,0.5792405605316162,0.6940460801124573
0,2,3,1,0,0,0.6330826282501221,0.4116491675376892,0.24548585712909698
0,2,4,1,1,0,0.09734101593494415,0.6687751412391663,0.4081668555736542
0,3,0,0,0,0,0.9391814470291138,0.20936895906925201,0.2834177017211914
0,3,1,0,0,0,0.5088678598403931,0.36387187242507935,0.34196317195892334
0,3,2,0,0,1,0.258179247379303,0.37213870882987976,0.6904385685920715
0,3,3,1,0,0,0.847759485244751,0.4396047294139862,0.47927483916282654
0,3,4,1,0,0,0.060818564146757126,0.3438440263271332,0.42743560671806335
0,4,0,0,0,1,0.9546284675598145,0.17815463244915009,0.5008288025856018
0,4,1,0,0,0,0.8034204840660095,0.4153495132923126,0.23531395196914673
0,4,2,0,0,1,0.6783347129821777,0.21293027698993683,0.6924209594726562
0,4,3,1,0,1,0.9189220070838928,0.4538152813911438,0.7236191630363464
0,4,4,1,0,1,0.43196243047714233,0.2041323333978653,0.6783521771430969
0,5,0,0,0,1,0.9620957970619202,0.19069460034370422,0.6575283408164978
0,5,1,0,1,0,0.9037996530532837,0.6865020394325256,0.3896247148513794
0,5,2,0,0,1,0.8628120422363281,0.1550840437412262,0.541218101978302
0,5,3,1,0,1,0.9457729458808899,0.3439056873321533,0.5425843000411987
0,5,4,1,0,1,0.7720981240272522,0.22226689755916595,0.6145987510681152
0,6,0,0,0,0,0.9660342335700989,0.12980134785175323,0.45075273513793945
0,6,1,0,1,1,0.4931105375289917,0.6491304636001587,0.7411413788795471
0,6,2,0,0,0,0.9242545962333679,0.1826547235250473,0.26271945238113403
0,6,3,1,0,0,0.9577206969261169,0.24538330733776093,0.35038426518440247
0,6,4,1,0,0,0.8934409618377686,0.31162402033805847,0.45760688185691833
0,7,0,0,0,1,0.9682275056838989,0.04167567566037178,0.5250777006149292
0,7,1,0,0,1,0.19733889400959015,0.43125927448272705,0.7468520998954773
0,7,2,0,0,0,0.9480239748954773,0.16489727795124054,0.23292896151542664
0,7,3,1,0,0,0.963695228099823,0.3331211805343628,0.4688858091831207
0,7,4,1,0,0,0.9355961084365845,0.44800862669944763,0.3661234676837921
0,8,0,0,0,1,0.9694903492927551,0.04636426642537117,0.5666124820709229
0,8,1,0,1,1,0.6307243704795837,0.7054653167724609,0.6446848511695862
0,8,2,0,0,0,0.9588067531585693,0.12264589220285416,0.38710495829582214
0,8,3,1,0,1,0.9669141173362732,0.4508189558982849,0.6982749700546265
0,8,4,1,0,0,0.9529958963394165,0.32942822575569153,0.36692890524864197
0,9,0,0,0,1,0.9702324867248535,0.098194919526577,0.6614517569541931
0,9,1,0,1,1,0.2570032477378845,0.584303081035614,0.6914988160133362
0,9,2,0,0,0,0.9642671346664429,0.13859470188617706,0.34644967317581177
0,9,3,1,0,1,0.9687303304672241,0.4613301455974579,0.5663548707962036
0,9,4,1,0,0,0.9612674713134766,0.3024681806564331,0.33145347237586975
0,10,0,0,0,1,0.9706740975379944,0.09411873668432236,0.7577707171440125
0,10,1,0,1,1,0.11606952548027039,0.7474974989891052,0.7133468985557556
0,10,2,0,0,0,0.9672322273254395,0.24807313084602356,0.2582565248012543
0,10,3,1,0,1,0.9697844982147217,0.35853251814842224,0.5444326400756836
0,10,4,1,0,0,0.9655840396881104,0.4424123466014862,0.37359699606895447
0,11,0,0,0,1,0.9709388017654419,0.23023644089698792,0.6526578068733215
0,11,1,0,1,1,0.06801006942987442,0.7075175642967224,0.6160386204719543
0,11,2,0,0,0,0.9689133763313293,0.4119960367679596,0.31097427010536194
0,11,3,1,0,1,0.9704070091247559,0.2946672737598419,0.6728228330612183
0,11,4,1,0,0,0.9679720997810364,0.4988980293273926,0.3238297700881958
0,12,0,0,0,1,0.9710982441902161,0.2620672583580017,0.5477449297904968
0,12,1,0,1,1,0.04861488193273544,0.7334898114204407,0.6719643473625183
0,12,2,0,1,0,0.9698920249938965,0.5536854267120361,0.32676082849502563
0,12,3,1,0,1,0.9707785248756409,0.3005611300468445,0.5533427596092224
0,12,4,1,1,0,0.9693416357040405,0.572885274887085,0.3530438542366028
0,13,0,0,0,1,0.9711945652961731,0.2825227379798889,0.5499933362007141
0,13,1,0,1,1,0.039539601653814316,0.6994050145149231,0.6107961535453796
0,13,2,0,1,0,0.6725671887397766,0.5069597959518433,0.480785608291626
0,13,3,1,0,1,0.9710016250610352,0.4019734263420105,0.5730243921279907
0,13,4,1,0,0,0.6700670123100281,0.4558662474155426,0.422190397977829
0,14,0,0,0,1,0.9712527990341187,0.17833837866783142,0.6288785934448242
