episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,0,1,0.5,0.374403715133667,0.5866730809211731
0,0,1,0,1,0,0.5,0.5489602088928223,0.4634591042995453
0,0,2,0,0,1,0.5,0.3942205011844635,0.6468613147735596
0,0,3,1,1,1,0.5,0.6054590344429016,0.5451321601867676
0,0,4,1,1,0,0.5,0.6017765998840332,0.36804938316345215
0,1,0,0,0,1,0.800000011920929,0.48890411853790283,0.5080637335777283
0,1,1,0,1,0,0.20000000298023224,0.6428728699684143,0.42000287771224976
0,1,2,0,0,1,0.800000011920929,0.2703939974308014,0.7628284692764282
0,1,3,1,1,0,0.20000000298023224,0.5898077487945557,0.46796104311943054
0,1,4,1,1,0,0.20000000298023224,0.6380615234375,0.08886586129665375
0,2,0,0,0,0,0.902658998966217,0.3175309896469116,0.448188841342926
0,2,1,0,0,0,0.09734101593494415,0.4990156292915344,0.3756962716579437
0,2,2,0,0,1,0.902658998966217,0.38426095247268677,0.7755126357078552
0,2,3,1,1,0,0.09734101593494415,0.538550078868866,0.4648236930370331
0,2,4,1,1,0,0.09734101593494415,0.6929525136947632,0.05893205851316452
0,3,0,0,0,1,0.9391814470291138,0.2590746283531189,0.5087750554084778
0,3,1,0,0,0,0.5088678598403931,0.31461822986602783,0.26514139771461487
0,3,2,0,0,1,0.9391814470291138,0.21704904735088348,0.8338368535041809
0,3,3,1,1,1,0.060818564146757126,0.6460601687431335,0.5091730952262878
0,3,4,1,1,0,0.060818564146757126,0.5713800191879272,0.06835423409938812
0,4,0,0,0,0,0.9546284675598145,0.37605202198028564,0.4686048924922943
0,4,1,0,0,0,0.8034204840660095,0.3407125473022461,0.26191800832748413
0,4,2,0,0,1,0.9546284675598145,0.11890338361263275,0.8383979201316833
0,4,3,1,1,1,0.04537151753902435,0.5319246649742126,0.6418539881706238
0,4,4,1,1,0,0.04537151753902435,0.5191299319267273,0.04857425391674042
0,5,0,0,0,0,0.9620957970619202,0.45433345437049866,0.44144198298454285
0,5,1,0,0,0,0.9037996530532837,0.3392910361289978,0.25601986050605774
0,5,2,0,0,1,0.9620957970619202,0.06843120604753494,0.7676116228103638
