seed,learning_rate,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy,defender_vf_loss,attacker_vf_loss
0,0.0002,1,9.063946008682251,1024,-963.65,50.0,-259.3,-704.35,-0.0675130522577092,-0.009001893224194646,3.3919820725917815,3.338746127486229,9.75599285364151,9.966133487224578
0,0.0002,2,18.131694078445435,2048,-963.3,50.0,-250.575,-712.725,-0.03735470939427614,-0.09303938830271363,3.383939704298973,3.3021144419908524,9.69686268568039,9.939610540866852
0,0.0002,3,27.196961879730225,3072,-971.4426229508197,50.0,-241.54098360655738,-729.9016393442623,-0.047701392136514184,-0.08683592804591171,3.375066289305687,3.2565793663263323,9.680174005031585,9.953757345676422
0,0.0002,4,36.32070207595825,4096,-975.7777777777778,50.0,-232.7283950617284,-743.0493827160494,-0.059822226595133546,-0.10216768914833665,3.3595662087202074,3.2220495641231537,9.714081013202668,9.990373921394347
0,0.0002,5,45.329761028289795,5120,-978.63,50.0,-251.37,-727.26,-0.07421710371272638,-0.09984005175647326,3.347828659415245,3.180609402060509,9.786441421508789,9.863562595844268
0,0.0002,6,54.47044324874878,6144,-983.69,50.0,-258.73,-724.96,-0.10513334366260096,-0.09268013949040324,3.3182848304510117,3.139703404903412,9.744486725330352,9.91533704996109
0,0.0002,7,63.517040491104126,7168,-992.47,50.0,-311.87,-680.6,-0.12184518659487367,-0.06401415274012834,3.296948194503784,3.125725132226944,9.657014727592468,9.943577885627747
0,0.0002,8,72.66351366043091,8192,-994.6,50.0,-358.91,-635.69,-0.05434315954335034,-0.14864481773111038,3.3069526702165604,3.115205520391464,9.83066383600235,9.889746153354645
0,0.0002,9,81.72057747840881,9216,-994.11,50.0,-364.76,-629.35,-0.08852697723777965,-0.09455791998188942,3.2483680129051207,3.108736592531204,9.831345129013062,9.917331457138062
0,0.0002,10,90.8288505077362,10240,-998.1,50.0,-371.76,-626.34,-0.11650664137559943,-0.10541951048653572,3.241040536761284,3.0571633040905,9.653402161598205,9.92201417684555
0,0.0002,11,99.97116041183472,11264,-997.55,50.0,-374.93,-622.62,-0.1636012070957804,-0.024475292582064868,3.2703963309526443,3.0483358234167097,9.5935751080513,9.97439888715744
0,0.0002,12,109.10243725776672,12288,-996.01,50.0,-334.11,-661.9,-0.08768072128295898,-0.11650391538860276,3.2514388889074324,3.0273264586925506,9.822288107872009,9.970743203163147
0,0.0002,13,118.43220949172974,13312,-995.66,50.0,-312.37,-683.29,-0.17307726654107683,-0.023326884070411325,3.2314310908317565,3.0419428259134293,9.75684484243393,9.856026935577393
0,0.0002,14,126.77389931678772,14336,-991.96,50.0,-294.6,-697.36,-0.13434904129244388,-0.07874212181195617,3.224135082960129,2.986841434240341,9.752274167537688,9.874463200569153
0,0.0002,15,134.97840237617493,15360,-984.07,50.0,-257.26,-726.81,-0.07267835661768914,-0.09753664167947136,3.223946434259415,2.983028581738472,9.469058847427368,9.870267188549041
0,0.0002,16,143.1968584060669,16384,-974.35,50.0,-266.7,-707.65,-0.18579094484448433,-0.03829994874540717,3.211575078964233,2.994810861349106,9.7521266579628,9.715762066841126
0,0.0002,17,151.46273851394653,17408,-970.99,50.0,-301.18,-669.81,-0.09709965442307293,-0.08417717737611383,3.2290542900562285,2.9341271042823793,9.647461628913879,9.685161197185517
0,0.0002,18,159.69464659690857,18432,-960.86,50.0,-294.15,-666.71,-0.0944559695199132,-0.08724812861764804,3.181311082839966,2.8948173850774763,9.536001563072205,9.908095586299897
0,0.0002,19,167.8657705783844,19456,-957.0,50.0,-309.47,-647.53,-0.09242750214179977,-0.11160390009172261,3.1802991181612015,2.8893916457891464,9.697895693778992,9.811258018016815
0,0.0002,20,176.05228567123413,20480,-966.22,50.0,-336.59,-629.63,-0.16973452675156295,-0.026196470391005276,3.160663849115372,2.9099349558353422,9.53978180885315,9.62859913110733
0,0.0002,21,184.2212598323822,21504,-974.03,50.0,-341.71,-632.32,-0.22073112251237034,0.019110884703695773,3.1645358204841614,2.855384984612465,9.78256596326828,9.798843014240266
0,0.0002,22,192.3330659866333,22528,-979.16,50.0,-345.98,-633.18,-0.10552239590324461,-0.08079791207564994,3.1607080906629563,2.876449891924858,9.789197564125061,9.80396614074707
0,0.0002,23,200.52295970916748,23552,-981.61,50.0,-327.32,-654.29,-0.08249616581015289,-0.1419867335294839,3.1313158601522444,2.9237974256277086,9.615934979915618,9.855941236019135
0,0.0002,24,208.7759246826172,24576,-985.45,50.0,-334.89,-650.56,0.003566733712796122,-0.1498519529879559,3.0860118180513383,2.8921825140714645,9.572456586360932,9.918201434612275
0,0.0002,25,216.94165062904358,25600,-981.43,50.0,-292.35,-689.08,-0.26769329463131725,0.019515122519806027,3.0581186592578886,2.8964772909879684,9.721421420574188,9.933539223670959
0,0.0002,26,225.03799271583557,26624,-970.14,50.0,-259.39,-710.75,-0.21538132046116515,-0.009932217467576266,3.0608715027570725,2.8657431572675707,9.70692857503891,9.79942765235901
0,0.0002,27,233.2291567325592,27648,-965.56,50.0,-245.34,-720.22,-0.20976946586742998,-0.04555927468463779,3.1076256155967714,2.8015446722507478,9.69151966571808,9.864654040336609
0,0.0002,28,241.42103266716003,28672,-955.3,50.0,-202.47,-752.83,-0.20963134244084358,-0.039089827425777914,3.0233087122440336,2.742612597346306,9.796803867816925,9.875894713401795
0,0.0002,29,249.67662286758423,29696,-952.29,50.0,-213.17,-739.12,-0.1661141817457974,-0.06343636774690822,3.0743697077035903,2.647303318977356,9.604250276088715,9.90890371799469
0,0.0002,30,257.9619827270508,30720,-955.5,50.0,-252.01,-703.49,-0.08702138762455433,-0.10529080177657306,3.0720994621515274,2.621090438961983,9.586798059940339,9.573016202449798
0,0.0002,31,266.02215790748596,31744,-956.4,50.0,-285.65,-670.75,-0.17656063828617335,-0.06820730571635067,3.0230889141559603,2.5860361963510514,9.72642662525177,9.70096880197525
0,0.0002,32,274.9258887767792,32768,-946.76,50.0,-280.14,-666.62,-0.19331950336927547,-0.023028488201089204,3.020556938648224,2.6547453671693804,9.650294482707977,9.87559187412262
0,0.0002,33,283.5625476837158,33792,-953.47,50.0,-306.84,-646.63,-0.12770981746725737,-0.0838184627238661,3.0611028254032133,2.492543897032738,9.91502377986908,9.878734874725343
0,0.0002,34,291.70333194732666,34816,-952.81,50.0,-310.09,-642.72,-0.15886115867178888,-0.04966039962309878,3.054102522134781,2.5903936505317686,9.632887434959411,9.731929337978363
0,0.0002,35,299.8366439342499,35840,-949.52,50.0,-311.37,-638.15,-0.09483310743817128,-0.12964438139460982,3.0069152474403382,2.6123950451612474,9.720369100570679,9.948250257968903
0,0.0002,36,307.92540669441223,36864,-947.22,50.0,-280.96,-666.26,-0.12187121915630997,-0.07143008086713962,2.917819881439209,2.4838790714740755,9.478913581371307,9.812868106365205
0,0.0002,37,315.9235427379608,37888,-951.0,50.0,-305.84,-645.16,-0.106159278168343,-0.11882996642962099,2.97539644241333,2.658670884370804,9.871460592746734,9.706820058822633
0,0.0002,38,324.01472902297974,38912,-944.03,50.0,-267.92,-676.11,-0.028710790781769902,-0.1308133028447628,2.9199425488710404,2.8399076044559477,9.71768535375595,9.828939998149872
0,0.0002,39,332.16854524612427,39936,-936.65,50.0,-280.52,-656.13,-0.13081801698426715,-0.0938050959026441,2.992691570520401,2.5755106627941133,9.770434880256653,9.757675659656524
0,0.0002,40,340.2525362968445,40960,-932.57,50.0,-264.58,-667.99,-0.08620241330936551,-0.08109273491427302,2.8898438453674316,2.7601584434509276,9.51637523174286,9.889964270591737
0,0.0002,41,348.313036441803,41984,-928.12,50.0,-277.75,-650.37,-0.006957120302831754,-0.18332482152618468,2.909439617395401,2.559676614403725,9.508934623003006,9.660312151908874
0,0.0002,42,356.708966255188,43008,-927.37,50.0,-223.56,-703.81,-0.07889474030234851,-0.10623200125992298,2.905350571870804,2.572678118944168,9.594170820713043,9.859379971027375
0,0.0002,43,365.09122824668884,44032,-927.31,50.0,-234.56,-692.75,-0.0128066148259677,-0.1965770795242861,2.8500052243471146,2.6153770595788957,9.5467578291893,9.82055492401123
0,0.0002,44,373.3124010562897,45056,-932.39,50.0,-247.76,-684.63,-0.08590557046700269,-0.102241769596003,2.9551535308361054,2.414305639266968,9.50178554058075,9.804832196235656
