seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,1,-277.2,285.8,-563.0,0.1608036026591435,0.02319998014718294,1.5909712314605713
0,2,-280.1,330.4,-610.5,-0.01589873805642128,-0.016469717025756836,3.170053482055664
0,3,-301.8666666666667,379.6666666666667,-681.5333333333333,-0.010752798989415169,-0.014419324230402708,4.698251724243164
0,4,-305.15,379.55,-684.7,-0.011153914034366608,-0.006620243191719055,6.2465808391571045
0,5,-353.6,433.76,-787.36,-0.01462097279727459,-0.018064256757497787,7.782805919647217
0,6,-330.1,408.96666666666664,-739.0666666666667,-0.009058915078639984,-0.008815445005893707,9.320873737335205
0,7,-327.7142857142857,398.2857142857143,-726.0,-0.008688587695360184,-0.014318499714136124,10.920682668685913
0,8,-287.1,355.475,-642.575,-0.01970723643898964,-0.004982065409421921,12.472708940505981
0,9,-275.1521739130435,356.7391304347826,-631.8913043478261,-0.00732063502073288,-0.012642305344343185,14.030170917510986
0,10,-283.70588235294116,374.37254901960785,-658.0784313725491,-0.007880797609686852,-0.006870148703455925,15.577945947647095
0,11,-282.375,388.4107142857143,-670.7857142857143,-0.009004909545183182,-0.014820394106209278,17.117582082748413
0,12,-289.26229508196724,386.04918032786884,-675.311475409836,-0.016173910349607468,-0.015075914561748505,18.6914279460907
0,13,-281.8787878787879,384.3484848484849,-666.2272727272727,-0.01091006025671959,-0.016185328364372253,20.232271909713745
0,14,-285.23943661971833,397.50704225352115,-682.7464788732394,-0.013945009559392929,-0.013685558922588825,21.79272699356079
0,15,-268.7763157894737,379.4342105263158,-648.2105263157895,-0.014368977397680283,-0.007200352847576141,23.360573291778564
0,16,-259.9259259259259,379.69135802469134,-639.6172839506173,-0.011775277554988861,-0.008560439571738243,24.914742946624756
0,17,-246.3448275862069,357.8045977011494,-604.1494252873563,-0.014608293771743774,-0.010344933718442917,26.456690073013306
0,18,-235.8913043478261,349.39130434782606,-585.2826086956521,-0.013413631357252598,-0.005898703821003437,27.997318983078003
0,19,-225.37113402061857,343.9072164948454,-569.2783505154639,-0.011458418564870954,-0.011018665274605155,29.53567600250244
0,20,-230.89,348.75,-579.64,-0.012027867138385773,-0.009331868961453438,31.09455704689026
0,21,-219.26,347.41,-566.67,-0.008343806955963373,-0.009580576792359352,32.65561294555664
0,22,-216.01,349.18,-565.19,-0.012803994119167328,-0.0124644935131073,34.261040925979614
0,23,-204.81,344.0,-548.81,-0.005864856764674187,-0.006340058520436287,35.82767605781555
0,24,-187.21,337.44,-524.65,-0.00965716689825058,-0.008298359811306,37.36752700805664
0,25,-162.44,320.43,-482.87,-0.009993184357881546,-0.007719416171312332,38.903478145599365
0,26,-147.8,314.83,-462.63,-0.007793355733156204,-0.011447574943304062,40.43610334396362
0,27,-134.02,308.17,-442.19,-0.012657755985856056,-0.007985945791006088,42.006309270858765
0,28,-128.18,308.7,-436.88,-0.008406347595155239,-0.006867530290037394,43.56059217453003
0,29,-120.98,303.0,-423.98,-0.013597629964351654,-0.007855139672756195,45.22611618041992
0,30,-99.97,277.56,-377.53,-0.010940421372652054,-0.01286618784070015,46.76374125480652
