variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
去除信念输入,1,8.597962141036987,1100,96.18181818181819,100.0,11.181818181818182,85.0,-0.03943124380376604,-0.05159864458772871,3.377374013264974,3.420463188489278
去除信念输入,2,17.017174243927002,2200,-51.22727272727273,100.0,171.36363636363637,-222.5909090909091,-0.057498677095605265,-0.04349137892325719,3.3380609459347195,3.409441844622294
去除信念输入,3,25.56001043319702,3300,-234.33333333333334,100.0,365.90909090909093,-600.2424242424242,-0.06565469470289019,-0.05276733852095074,3.3030984083811443,3.4034584098392062
去除信念输入,4,33.86193823814392,4400,-249.1590909090909,100.0,378.02272727272725,-627.1818181818181,-0.08960830658260319,-0.04630006135751804,3.2767572191026475,3.3915932284461126
去除信念输入,5,42.156376361846924,5500,-283.3636363636364,100.0,411.8,-695.1636363636363,-0.08310417696419689,-0.034489439179499946,3.2671199851565893,3.3675754679573906
去除信念输入,6,50.49138522148132,6600,-343.1818181818182,100.0,468.969696969697,-812.1515151515151,-0.05796805505330364,-0.061380879314512846,3.2146509064568414,3.3489345735973783
去除信念输入,7,58.77241635322571,7700,-376.27272727272725,100.0,491.45454545454544,-867.7272727272727,-0.04979686737060547,-0.06882687757412592,3.2724626249737208,3.311417802174886
去除信念输入,8,67.15791726112366,8800,-388.0568181818182,100.0,507.67045454545456,-895.7272727272727,-0.054940659081977275,-0.08629522294633918,3.2339436716503567,3.2958880133099027
去除信念输入,9,75.43941020965576,9900,-390.16161616161617,100.0,512.6262626262626,-902.7878787878788,-0.0918815248645842,-0.056149731162521574,3.1573661936653985,3.267627067036099
去除信念输入,10,83.6967601776123,11000,-444.41,100.0,570.52,-1014.93,-0.07099551755107111,-0.07747152779354817,3.13896128071679,3.2563462363349065
去除信念输入,11,92.0518171787262,12100,-467.5,100.0,599.79,-1067.29,-0.06072475932952431,-0.08620403731862704,3.1054439306259156,3.2251211722691853
去除信念输入,12,100.43346333503723,13200,-444.1,100.0,587.76,-1031.86,-0.09678894028895431,-0.04039451765517394,3.0719958782196044,3.2054086128870645
去除信念输入,13,108.70503330230713,14300,-428.36,100.0,585.57,-1013.93,-0.09205734795994229,-0.0719025421473715,3.059899483786689,3.173138207859463
去除信念输入,14,117.03924822807312,15400,-437.42,100.0,593.69,-1031.11,-0.08706072851394614,-0.03782042210611204,3.13880545563168,3.166597260369195
去除信念输入,15,125.35569334030151,16500,-393.64,100.0,568.78,-962.42,-0.0904607751303249,-0.035171953102366794,3.1109146647983126,3.1651879257626003
去除信念输入,16,133.80056953430176,17600,-396.97,100.0,592.45,-989.42,-0.08352968031023111,-0.05722459024853176,3.0799337095684476,3.157493578063117
去除信念输入,17,142.15952348709106,18700,-369.6,100.0,566.12,-935.72,-0.09457878934012519,-0.06447065166301197,3.142411412133111,3.1523084931903416
去除信念输入,18,150.55862951278687,19800,-364.75,100.0,556.71,-921.46,-0.061489746802383,-0.08226529641283883,3.0911001708772448,3.123310203022427
去除信念输入,19,158.96331548690796,20900,-368.19,100.0,583.21,-951.4,-0.08867366341356601,-0.06381452521309257,3.099549587567647,3.1074718448850844
去除信念输入,20,167.29395842552185,22000,-373.24,100.0,586.31,-959.55,-0.08519050383733379,-0.08141745537933376,3.048822122149997,3.1330722252527874
去除信念输入,21,175.5966272354126,23100,-336.96,100.0,532.57,-869.53,-0.08623476258168618,-0.06648339993423885,3.0941658523347644,3.1406282398435805
去除信念输入,22,183.91153812408447,24200,-324.61,100.0,522.87,-847.48,-0.07279485110193491,-0.0755597609276366,3.1409358580907187,3.0987390279769897
去除信念输入,23,192.22596406936646,25300,-264.88,100.0,471.52,-736.4,-0.06640977230336931,-0.08219031602428813,3.1102895233366223,3.1142520003848606
去除信念输入,24,200.56529998779297,26400,-240.64,100.0,459.33,-699.97,-0.060727450996637344,-0.0976701440082656,3.076676803165012,3.1075419664382933
去除信念输入,25,208.89523196220398,27500,-236.9,100.0,444.53,-681.43,-0.09751585639185376,-0.07210299319898089,3.0271392901738485,3.1155459377500745
去除信念输入,26,217.15623998641968,28600,-263.73,100.0,457.64,-721.37,-0.11669296672981647,-0.05619222956399123,2.982647350099352,3.106282697783576
去除信念输入,27,225.49492406845093,29700,-292.95,100.0,497.85,-790.8,-0.09715348326911528,-0.058742541012664636,2.9288986417982312,3.096682588259379
去除信念输入,28,233.95455503463745,30800,-298.02,100.0,489.54,-787.56,-0.10011453003519111,-0.07534918180770345,2.9488449255625406,3.0695570203993054
去除信念输入,29,242.21919298171997,31900,-310.01,100.0,499.67,-809.68,-0.0883165504421211,-0.08416632020639049,2.961228919029236,3.019988520940145
去除信念输入,30,250.55931520462036,33000,-294.21,100.0,485.81,-780.02,-0.060061019524517985,-0.09890916202631261,3.0567209906048243,3.0084437476264108
去除信念输入,31,258.97449803352356,34100,-335.21,100.0,526.89,-862.1,-0.11263987995270226,-0.05140390085677306,2.8509725014368694,3.0743965519799126
去除信念输入,32,267.2635340690613,35200,-352.97,100.0,546.36,-899.33,-0.09426677881015672,-0.07015129243437615,2.962725019454956,2.9940024031533135
去除信念输入,33,275.6050651073456,36300,-344.86,100.0,530.36,-875.22,-0.07718437214692433,-0.09371167361322376,3.0561372624503242,2.901324968867832
去除信念输入,34,283.90592527389526,37400,-314.04,100.0,522.18,-836.22,-0.0866764574829075,-0.10199510055697626,2.92391340997484,2.8726799567540486
去除信念输入,35,292.42660307884216,38500,-262.76,100.0,494.25,-757.01,-0.10186810915668805,-0.09142705516682731,2.9105163521236843,2.865700856844584
去除信念输入,36,301.2102448940277,39600,-222.15,100.0,478.5,-700.65,-0.11443700517217319,-0.06799074624561602,2.898187348577711,2.8502170615726046
去除信念输入,37,309.62582302093506,40700,-170.7,100.0,452.93,-623.63,-0.09761952388928169,-0.07691241709722413,2.89124276638031,2.732094555430942
去除信念输入,38,317.9992070198059,41800,-148.66,100.0,430.94,-579.6,-0.06049450190427403,-0.10022214690430296,2.843936408890618,2.935639985402425
去除信念输入,39,326.29315400123596,42900,-194.41,100.0,494.34,-688.75,-0.10671213704885708,-0.06701634505556689,2.710166777504815,2.8900957345962524
去除信念输入,40,334.5655801296234,44000,-157.56,100.0,475.3,-632.86,-0.1139595306581921,-0.07226420261948886,2.911677924791972,2.71389524936676
去除信念输入,41,342.8363289833069,45100,-202.88,100.0,501.99,-704.87,-0.0953789836830563,-0.08801790848374366,2.752900144788954,2.7926872624291312
去除信念输入,42,351.20006370544434,46200,-259.48,100.0,548.73,-808.21,-0.10384183190762997,-0.06965090615881814,2.6923181348376803,2.763497808244493
