variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
SG-MAA2C,1,6.244051933288574,1100,121.54545454545455,100.0,12.909090909090908,108.63636363636364,0.01986280745930142,-0.007024606068929036,3.331558492448595,3.354520665274726
SG-MAA2C,2,12.447829961776733,2200,35.54545454545455,100.0,245.36363636363637,-209.8181818181818,-0.008433979004621506,0.004782669246196747,3.178980138566759,3.204306575987074
SG-MAA2C,3,18.635902881622314,3300,-103.24242424242425,100.0,373.5151515151515,-476.75757575757575,-0.0037335569763349164,0.006630111175278823,3.1726847224765353,3.216261863708496
SG-MAA2C,4,24.85778498649597,4400,-104.81818181818181,100.0,394.70454545454544,-499.52272727272725,-0.036102577216095395,0.01581642859511905,3.1610471142662897,3.1483672195010715
SG-MAA2C,5,31.171210050582886,5500,-123.07272727272728,100.0,419.74545454545455,-542.8181818181819,-0.04181918087932798,0.03052635159757402,3.1517698764801025,3.0710220336914062
SG-MAA2C,6,37.33142304420471,6600,-161.86363636363637,100.0,448.75757575757575,-610.6212121212121,-0.010542507800790999,-0.0021169638364679283,3.2048783037397595,2.9905014832814536
SG-MAA2C,7,43.481178283691406,7700,-180.15584415584416,100.0,486.3376623376623,-666.4935064935065,0.004399986006319523,-0.013403109792206023,3.1422121259901257,2.9324366251627603
SG-MAA2C,8,49.726022243499756,8800,-177.4318181818182,100.0,503.02272727272725,-680.4545454545455,0.012684494256973267,-0.023617628547880385,3.1386059125264487,2.8674172030554876
SG-MAA2C,9,55.91567420959473,9900,-167.14141414141415,100.0,521.7777777777778,-688.9191919191919,-0.03119642784198125,0.010542564921908908,3.015771600935194,2.7042639785342746
SG-MAA2C,10,62.108259201049805,11000,-175.82,100.0,572.02,-747.84,-0.014590548972288767,-0.0011132107012801701,2.9207444985707602,2.6564166810777454
SG-MAA2C,11,68.31548810005188,12100,-170.94,100.0,587.4,-758.34,0.001199048012495041,-0.012791189054648081,2.8800787925720215,2.6993787553575306
SG-MAA2C,12,74.554270029068,13200,-129.92,100.0,571.64,-701.56,-0.018923099773625534,0.00562339938349194,2.7330041196611194,2.6989585823482938
SG-MAA2C,13,80.69593691825867,14300,-91.12,100.0,577.94,-669.06,-0.0351356135474311,0.0036877592404683432,2.7167576683892145,2.50584085782369
SG-MAA2C,14,86.87805390357971,15400,-81.95,100.0,578.05,-660.0,-0.023145491671231058,0.03515588409370846,2.4378734164767795,2.407264815436469
SG-MAA2C,15,93.00910496711731,16500,-19.68,100.0,580.52,-600.2,-0.017702645622193813,0.02422597838772668,2.589717600080702,2.310806565814548
SG-MAA2C,16,99.17830204963684,17600,8.24,100.0,567.85,-559.61,-0.01813680264684889,0.0018340837624337939,2.487951729032728,2.184341960483127
SG-MAA2C,17,105.38124918937683,18700,57.71,100.0,545.38,-487.67,-0.02548536140885618,0.00981782873471578,2.496700260374281,2.092320124308268
SG-MAA2C,18,111.55397415161133,19800,77.08,100.0,519.77,-442.69,-0.0364938262436125,0.0029568043020036486,2.4887279404534235,2.1244522995418973
SG-MAA2C,19,117.75574231147766,20900,82.74,100.0,531.5,-448.76,-0.01784245752625995,-0.0005066063668992785,2.5587883790334067,1.9486200677023993
SG-MAA2C,20,123.8808901309967,22000,107.52,100.0,530.87,-423.35,-0.015062148372332254,-0.00963319879439142,2.801940361658732,1.8143967654969957
SG-MAA2C,21,130.02126002311707,23100,169.28,100.0,539.4,-370.12,-0.047354136490159564,0.011032106147872077,2.8988885349697537,1.6911092201868694
SG-MAA2C,22,136.23847913742065,24200,198.92,100.0,556.9,-357.98,-0.053194139152765274,0.01109205698594451,2.8318346076541476,1.6599708265728421
SG-MAA2C,23,142.36395120620728,25300,273.37,100.0,562.24,-288.87,-0.01032660404841105,-0.012401346117258072,2.6502620114220514,1.5039360523223877
SG-MAA2C,24,148.61527800559998,26400,312.19,100.0,567.24,-255.05,-0.022483554979165394,-0.02724894881248474,2.5313390360938177,1.5276486211352878
SG-MAA2C,25,154.7653558254242,27500,327.96,100.0,558.39,-230.43,-0.020319873260127172,-0.00845873024728563,2.4908129374186196,1.4996196428934734
SG-MAA2C,26,160.92462372779846,28600,326.02,100.0,553.16,-227.14,-0.032572461292147636,0.0061418525874614716,2.4339119593302407,1.3801398939556546
SG-MAA2C,27,167.10273957252502,29700,335.47,100.0,544.31,-208.84,-0.02286627060837216,-0.003029644282327758,2.09847358862559,1.2569911082585652
SG-MAA2C,28,173.30015182495117,30800,357.2,100.0,536.8,-179.6,-0.009475712974866232,0.004653616083992852,1.959176434410943,1.0293717450565762
SG-MAA2C,29,179.47204875946045,31900,357.57,100.0,514.52,-156.95,-0.021352393759621516,0.0039013620052072736,1.9717606438530817,0.7670775453249613
SG-MAA2C,30,185.6314127445221,33000,370.0,100.0,512.62,-142.62,-0.041322138988309436,0.007488200647963418,1.9337581528557672,0.6110206113921272
SG-MAA2C,31,191.8011326789856,34100,365.34,100.0,497.11,-131.77,0.0052155595686700605,0.010610250756144524,1.681899322403802,0.5528156492445204
