episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,0,0,0.5,0.34455299377441406,0.37466976046562195
0,0,1,0,1,0,0.5,0.51472008228302,0.2763594686985016
0,0,2,0,1,0,0.5,0.5042558908462524,0.4843994379043579
0,0,3,1,1,0,0.5,0.5242164731025696,0.4082663059234619
0,0,4,1,1,0,0.5,0.6208386421203613,0.27777913212776184
0,1,0,0,0,0,0.800000011920929,0.26043185591697693,0.130562424659729
0,1,1,0,1,0,0.20000000298023224,0.5337157845497131,0.08230844140052795
0,1,2,0,1,0,0.20000000298023224,0.5079168081283569,0.26870831847190857
0,1,3,1,1,0,0.20000000298023224,0.5171794295310974,0.20828154683113098
0,1,4,1,1,0,0.20000000298023224,0.6605984568595886,0.07309882342815399
0,2,0,0,0,0,0.902658998966217,0.18415933847427368,0.061291616410017014
0,2,1,0,1,0,0.09734101593494415,0.5510920286178589,0.04210233315825462
0,2,2,0,0,0,0.09734101593494415,0.49885785579681396,0.13466285169124603
0,2,3,1,1,0,0.09734101593494415,0.5393344759941101,0.13121788203716278
0,2,4,1,1,0,0.09734101593494415,0.6227583289146423,0.03465297445654869
0,3,0,0,0,0,0.9391814470291138,0.12039580941200256,0.04232633113861084
0,3,1,0,1,0,0.060818564146757126,0.5281795859336853,0.02675466425716877
0,3,2,0,0,0,0.5088678598403931,0.48744088411331177,0.11066927760839462
0,3,3,1,1,0,0.060818564146757126,0.549483597278595,0.09659279882907867
0,3,4,1,1,0,0.060818564146757126,0.5681971311569214,0.019731594249606133
0,4,0,0,0,0,0.9546284675598145,0.07720209658145905,0.033161554485559464
0,4,1,0,1,0,0.04537151753902435,0.5201006531715393,0.01825212500989437
0,4,2,0,0,0,0.8034204840660095,0.44441723823547363,0.08658479899168015
0,4,3,1,1,0,0.04537151753902435,0.5200682282447815,0.08571359515190125
0,4,4,1,1,0,0.04537151753902435,0.5054954886436462,0.014222459867596626
0,5,0,0,0,0,0.9620957970619202,0.05936303362250328,0.026163065806031227
0,5,1,0,1,0,0.03790419548749924,0.5256824493408203,0.013160222209990025
0,5,2,0,0,0,0.9037996530532837,0.4308267831802368,0.07158530503511429
0,5,3,1,1,0,0.03790419548749924,0.5158345699310303,0.07449169456958771
0,5,4,1,0,0,0.03790419548749924,0.4682578146457672,0.012010304257273674
0,6,0,0,0,0,0.9660342335700989,0.05010098218917847,0.022601038217544556
0,6,1,0,1,0,0.033965762704610825,0.5252710580825806,0.012903262861073017
0,6,2,0,0,0,0.939631998538971,0.4312104284763336,0.05468740686774254
0,6,3,1,1,0,0.033965762704610825,0.5303117632865906,0.0734521746635437
0,6,4,1,0,0,0.3600245714187622,0.4735459089279175,0.010889957658946514
0,7,0,0,0,0,0.9682275056838989,0.04442264512181282,0.02184028923511505
0,7,1,0,1,0,0.03177250549197197,0.5112789273262024,0.01253026258200407
0,7,2,0,0,0,0.9548359513282776,0.4172457456588745,0.0424797385931015
0,7,3,1,1,0,0.03177250549197197,0.5593714714050293,0.06901451200246811
0,7,4,1,0,0,0.7383447289466858,0.48250627517700195,0.010089020244777203
0,8,0,0,0,0,0.9694903492927551,0.03949114680290222,0.01991286501288414
0,8,1,0,0,0,0.03050963021814823,0.4966179430484772,0.011316047981381416
0,8,2,0,0,0,0.9622018337249756,0.4212980568408966,0.03032640367746353
0,8,3,1,1,0,0.03050963021814823,0.5588546395301819,0.06342476606369019
0,8,4,1,0,0,0.8824148178100586,0.4673534035682678,0.01024953555315733
0,9,0,0,0,0,0.9702324867248535,0.039082176983356476,0.027234718203544617
0,9,1,0,0,0,0.32926079630851746,0.48183339834213257,0.010397023521363735
0,9,2,0,0,0,0.9660921692848206,0.43708181381225586,0.023489931598305702
0,9,3,1,1,0,0.029767485335469246,0.558086097240448,0.06218996271491051
0,9,4,1,0,0,0.931423008441925,0.4715977907180786,0.013057222589850426
0,10,0,0,0,0,0.9706740975379944,0.03967193514108658,0.034116245806217194
0,10,1,0,0,0,0.7220653295516968,0.42721179127693176,0.010322948917746544
0,10,2,0,0,0,0.9682604074478149,0.4377228915691376,0.02017819508910179
0,10,3,1,1,0,0.029325908049941063,0.579156219959259,0.05752580240368843
0,10,4,1,1,0,0.9511345624923706,0.5069530010223389,0.013669752515852451
0,11,0,0,0,0,0.9709388017654419,0.042877767235040665,0.02890654280781746
0,11,1,0,0,0,0.877112627029419,0.41064170002937317,0.008301316760480404
0,11,2,0,0,0,0.9695096015930176,0.446674108505249,0.02365446463227272
0,11,3,1,1,0,0.029061181470751762,0.6097801923751831,0.04704765975475311
0,11,4,1,1,0,0.6021049618721008,0.5296189188957214,0.013135592453181744
0,12,0,0,0,0,0.9710982441902161,0.03868527710437775,0.02769024483859539
0,12,1,0,0,0,0.9294551610946655,0.393119215965271,0.0077568842098116875
0,12,2,0,0,0,0.9702438712120056,0.42841005325317383,0.025659654289484024
0,12,3,1,1,0,0.02890174649655819,0.6435853838920593,0.04181227460503578
0,12,4,1,1,0,0.2432316392660141,0.513635516166687,0.01287133153527975
0,13,0,0,0,0,0.9711945652961731,0.03566322848200798,0.02733788639307022
0,13,1,0,0,0,0.9502702355384827,0.3973013460636139,0.007624636869877577
0,13,2,0,0,0,0.9706808924674988,0.41316330432891846,0.029566435143351555
0,13,3,1,1,0,0.028805458918213844,0.6593116521835327,0.03935367986559868
0,13,4,1,0,0,0.11157703399658203,0.4898941218852997,0.013224986381828785
0,14,0,0,0,0,0.9712527990341187,0.029936157166957855,0.03598015010356903
0,14,1,0,0,0,0.9599074721336365,0.42117100954055786,0.008989081718027592
0,14,2,0,0,0,0.9709429144859314,0.38580891489982605,0.022672194987535477
0,14,3,1,1,0,0.028747208416461945,0.6784638166427612,0.04572233557701111
0,14,4,1,0,0,0.5319328308105469,0.46092358231544495,0.01413066778331995
0,15,0,0,0,0,0.9712880849838257,0.030933506786823273,0.034149639308452606
0,15,1,0,0,0,0.9648524522781372,0.4549824297428131,0.008766727522015572
0,15,2,0,0,0,0.9711007475852966,0.37912237644195557,0.019643081352114677
0,15,3,1,1,0,0.02871193364262581,0.6783846616744995,0.045701202005147934
0,15,4,1,0,0,0.8121243119239807,0.45098739862442017,0.015333883464336395
0,16,0,0,0,0,0.9713094234466553,0.03165820613503456,0.03603428602218628
0,16,1,0,0,0,0.967559814453125,0.487097829580307,0.009647801518440247
0,16,2,0,0,0,0.9711960554122925,0.36342841386795044,0.018157165497541428
0,16,3,1,1,0,0.028690557926893234,0.6801978349685669,0.04390149936079979
0,16,4,1,0,0,0.9067158102989197,0.4320632517337799,0.014921417459845543
0,17,0,0,0,0,0.9713224172592163,0.03687262162566185,0.03324710950255394
0,17,1,0,1,0,0.9691025018692017,0.5005342364311218,0.010309715755283833
0,17,2,0,0,0,0.9712536931037903,0.37297624349594116,0.01736593060195446
0,17,3,1,1,0,0.028677601367235184,0.6784242987632751,0.04076921194791794
0,17,4,1,0,0,0.9407913088798523,0.4291043281555176,0.014721335843205452
0,18,0,0,0,0,0.9713302254676819,0.03610684350132942,0.022618666291236877
0,18,1,0,0,0,0.668991208076477,0.4972744882106781,0.011267624795436859
0,18,2,0,0,0,0.9712886214256287,0.36944788694381714,0.019277289509773254
0,18,3,1,1,0,0.028669746592640877,0.6687719225883484,0.03463170304894447
0,18,4,1,0,0,0.9553723335266113,0.3994385600090027,0.011034604161977768
0,19,0,0,0,0,0.9713349938392639,0.03329469636082649,0.025762442499399185
0,19,1,0,0,0,0.859731912612915,0.4805148243904114,0.011251264251768589
0,19,2,0,0,0,0.9713097810745239,0.3539664149284363,0.015392866916954517
0,19,3,1,1,0,0.028664981946349144,0.6939067840576172,0.03712425380945206
0,19,4,1,0,0,0.9624768495559692,0.32892969250679016,0.012497236020863056
0,20,0,0,0,0,0.9713379144668579,0.029193950816988945,0.027699386700987816
0,20,1,0,0,0,0.9231526851654053,0.4625939428806305,0.0116537194699049
0,20,2,0,0,0,0.9713225960731506,0.33310356736183167,0.014692219905555248
0,20,3,1,1,0,0.028662092983722687,0.7032164931297302,0.03830781951546669
0,20,4,1,0,0,0.9662425518035889,0.2825658917427063,0.014133232645690441
0,21,0,0,0,0,0.9713396430015564,0.0285185556858778,0.02845439501106739
0,21,1,0,0,0,0.9475547075271606,0.4794197380542755,0.010922158136963844
0,21,2,0,0,0,0.9713304042816162,0.33215928077697754,0.015187466517090797
0,21,3,1,1,0,0.02866034023463726,0.692575216293335,0.03869693726301193
0,21,4,1,0,0,0.968346118927002,0.2636803984642029,0.01354097481817007
0,22,0,0,0,0,0.9713407158851624,0.026528924703598022,0.028197353705763817
0,22,1,0,0,0,0.9585789442062378,0.4936779737472534,0.010649198666214943
0,22,2,0,0,0,0.9713351130485535,0.3227633833885193,0.014762614853680134
0,22,3,1,1,0,0.0286592785269022,0.7096770405769348,0.03837179020047188
0,22,4,1,0,0,0.9695596098899841,0.26936963200569153,0.013833144679665565
0,23,0,0,0,0,0.9713413715362549,0.02756263129413128,0.026046626269817352
0,23,1,0,1,0,0.9641467332839966,0.5091855525970459,0.010984725318849087
0,23,2,0,0,0,0.9713379740715027,0.31875529885292053,0.014992959797382355
0,23,3,1,1,0,0.028658634051680565,0.7053267359733582,0.038369838148355484
0,23,4,1,0,0,0.9702735543251038,0.28050345182418823,0.014004462398588657
0,24,0,0,0,0,0.9713417291641235,0.025727571919560432,0.02057412639260292
0,24,1,0,1,0,0.6480067372322083,0.5211089849472046,0.011387435719370842
0,24,2,0,0,0,0.9713397026062012,0.3052627146244049,0.017636489123106003
0,24,3,1,1,0,0.028658242896199226,0.723327100276947,0.03184972330927849
0,24,4,1,0,0,0.9706985950469971,0.25408363342285156,0.010084658861160278
0,25,0,0,0,0,0.9713419675827026,0.023388784378767014,0.01694503054022789
0,25,1,0,1,0,0.26578086614608765,0.5305637121200562,0.010168352164328098
0,25,2,0,0,0,0.9713407158851624,0.30377501249313354,0.016805626451969147
0,25,3,1,1,0,0.028658006340265274,0.7214565277099609,0.030151693150401115
0,25,4,1,0,0,0.9709535837173462,0.2217922955751419,0.008684742264449596
0,26,0,0,0,0,0.971342146396637,0.021232958883047104,0.016181861981749535
0,26,1,0,1,0,0.11892899125814438,0.5392191410064697,0.010427732020616531
0,26,2,0,0,0,0.9713413715362549,0.2880813479423523,0.017813656479120255
0,26,3,1,1,0,0.028657861053943634,0.7282645106315613,0.030063776299357414
0,26,4,1,0,0,0.9711071252822876,0.18510285019874573,0.008352535776793957
0,27,0,0,0,0,0.9713422060012817,0.020734410732984543,0.015036159195005894
0,27,1,0,1,0,0.06907796859741211,0.537875235080719,0.010511455126106739
0,27,2,0,0,0,0.9713417887687683,0.2810344398021698,0.018576545640826225
0,27,3,1,1,0,0.02865777537226677,0.7190515995025635,0.029677243903279305
0,27,4,1,0,0,0.9711999297142029,0.16475015878677368,0.008126499131321907
0,28,0,0,0,0,0.9713422656059265,0.01927851513028145,0.01414872333407402
0,28,1,0,1,0,0.04908626526594162,0.5457332134246826,0.010335656814277172
0,28,2,0,0,0,0.9713420271873474,0.2752121686935425,0.01856342703104019
0,28,3,1,1,0,0.02865772135555744,0.7057908177375793,0.03038208559155464
0,28,4,1,0,0,0.9712560772895813,0.14601902663707733,0.008198161609470844
0,29,0,0,0,0,0.9713423252105713,0.018464988097548485,0.012968904338777065
0,29,1,0,1,0,0.03977394476532936,0.5445408821105957,0.01033871527761221
0,29,2,0,0,0,0.971342146396637,0.27509236335754395,0.018579591065645218
0,29,3,1,1,0,0.028657689690589905,0.69206303358078,0.030835527926683426
0,29,4,1,0,0,0.9712900519371033,0.14388413727283478,0.007997590117156506
0,30,0,0,0,0,0.9713423252105713,0.01752079837024212,0.013013971038162708
0,30,1,0,1,0,0.034976985305547714,0.5462833046913147,0.010673864744603634
0,30,2,0,0,0,0.9713422060012817,0.266948938369751,0.01849828101694584
0,30,3,1,1,0,0.028657669201493263,0.7024105191230774,0.03040916845202446
0,30,4,1,0,0,0.9713106155395508,0.1376885324716568,0.007816972211003304
0,31,0,0,0,0,0.9713423252105713,0.016846492886543274,0.01258805487304926
0,31,1,0,1,0,0.032344359904527664,0.5435305237770081,0.010002907365560532
0,31,2,0,0,0,0.9713422656059265,0.26836976408958435,0.01774159073829651
0,31,3,1,1,0,0.028657658025622368,0.7026278972625732,0.029792549088597298
0,31,4,1,0,0,0.9713231325149536,0.1370876133441925,0.007869905792176723
0,32,0,0,0,0,0.9713423252105713,0.016327718272805214,0.012796444818377495
0,32,1,0,1,0,0.030841996893286705,0.5408708453178406,0.009595068171620369
0,32,2,0,0,0,0.9713423252105713,0.2716512978076935,0.017683450132608414
0,32,3,1,1,0,0.02865765057504177,0.7074116468429565,0.029562726616859436
0,32,4,1,0,0,0.9713307023048401,0.1367892324924469,0.007735996041446924
0,33,0,0,0,0,0.9713423252105713,0.016433943063020706,0.012930023483932018
0,33,1,0,1,0,0.029963918030261993,0.5311965942382812,0.009431298822164536
0,33,2,0,0,0,0.9713423252105713,0.2741718590259552,0.017863772809505463
0,33,3,1,1,0,0.028657646849751472,0.7187803387641907,0.029154272750020027
0,33,4,1,0,0,0.9713352918624878,0.13912637531757355,0.007561330683529377
0,34,0,0,0,0,0.9713423848152161,0.016294313594698906,0.012868253514170647
0,34,1,0,1,0,0.02944318950176239,0.5284055471420288,0.009351684711873531
0,34,2,0,0,0,0.9713423252105713,0.27279725670814514,0.01793373003602028
0,34,3,1,1,0,0.028657644987106323,0.7228552103042603,0.028934024274349213
0,34,4,1,0,0,0.9713380932807922,0.13676080107688904,0.007535681594163179
0,35,0,0,0,0,0.9713423848152161,0.01610870659351349,0.012787412852048874
0,35,1,0,1,0,0.029131639748811722,0.5285119414329529,0.009302535094320774
0,35,2,0,0,0,0.9713423252105713,0.270706444978714,0.017934100702404976
