panel_key,panel_title,parameter_name,parameter_label,scenario,parameter_value,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,mean_attack_probability,terminal_public_belief_mean
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,1,-2.931111111111114,0.3200000000000012,-2.931111111111114,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,2,-5.42255555555556,0.5920000000000021,-5.862222222222226,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,3,-7.540283333333337,0.823200000000002,-8.793333333333338,0.8655555555555555,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,4,-9.34035194444445,1.019720000000003,-11.724444444444453,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,5,-10.870410263888894,1.1867620000000036,-14.655555555555564,0.8655555555555555,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,6,-12.170959835416674,1.328747700000004,-17.586666666666677,0.8655555555555555,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,7,-13.276426971215287,1.4494355450000045,-20.51777777777779,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,8,-14.21607403664411,1.552020213250005,-23.448888888888906,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,9,-15.014774042258606,1.6392171812625054,-26.380000000000017,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,10,-15.693669047030928,1.7133346040731303,-29.31111111111113,0.8655555555555556,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,11,-16.270729801087406,1.776334413462162,-32.242222222222246,0.8655555555555557,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,12,-16.76123144203541,1.8298842514428386,-35.17333333333336,0.8655555555555557,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,13,-17.178157836841212,1.875401613726414,-38.10444444444448,0.8655555555555557,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,14,-17.53254527242614,1.914091371667454,-41.03555555555559,0.8655555555555557,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.56,15,-17.83377459267333,1.946977665917337,-43.966666666666704,0.8655555555555557,0.56000044
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,1,-4.786111111111113,2.3000000000000003,-4.786111111111113,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,2,-8.854305555555559,4.255000000000001,-9.572222222222226,0.8930555555555556,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,3,-12.312270833333336,5.91675,-14.358333333333336,0.8930555555555556,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,4,-15.25154131944445,7.329237500000001,-19.144444444444453,0.8930555555555556,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,5,-17.74992123263889,8.529851875000002,-23.930555555555557,0.8930555555555555,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,6,-19.87354415885417,9.550374093750001,-28.71666666666667,0.8930555555555556,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,7,-21.67862364613716,10.417817979687502,-33.50277777777779,0.8930555555555556,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,8,-23.212941210327692,11.155145282734377,-38.2888888888889,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,9,-24.517111139889654,11.781873490324221,-43.07500000000001,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,10,-25.625655580017312,12.314592466775588,-47.86111111111112,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,11,-26.56791835412583,12.76740359675925,-52.64722222222223,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,12,-27.36884171211807,13.152293057245362,-57.433333333333344,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,13,-28.049626566411472,13.479449098658558,-62.219444444444456,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,14,-28.628293692560856,13.757531733859773,-67.00555555555557,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.65,15,-29.120160749787836,13.993901973780808,-71.79166666666669,0.8930555555555557,0.6500003500000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,1,-6.641111111111114,4.279999999999999,-6.641111111111114,0.9205555555555557,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,2,-12.286055555555558,7.917999999999999,-13.282222222222225,0.9205555555555557,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,3,-17.084258333333334,11.010299999999999,-19.923333333333336,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,4,-21.16273069444445,13.638754999999998,-26.564444444444447,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,5,-24.629432201388887,15.872941749999999,-33.205555555555556,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,6,-27.576128482291672,17.772000487499998,-39.84666666666668,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,7,-30.08082032105903,19.386200414374997,-46.487777777777794,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,8,-32.20980838401129,20.758270352218748,-53.128888888888895,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,9,-34.019448237520706,21.924529799385937,-59.77000000000001,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,10,-35.55764211300371,22.915850329478047,-66.41111111111113,0.9205555555555558,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,11,-36.86510690716426,23.75847278005634,-73.05222222222224,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,12,-37.976451982200736,24.47470186304789,-79.69333333333337,0.9205555555555557,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,13,-38.92109529598173,25.08349658359071,-86.33444444444449,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,14,-39.72404211269558,25.600972096052104,-92.9755555555556,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.74,15,-40.406546906902356,26.04082628164429,-99.61666666666672,0.9205555555555556,0.7400002600000001
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,1,-8.496111111111112,6.259999999999998,-8.496111111111112,0.9480555555555555,0.8300001699999999
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,2,-15.717805555555556,11.580999999999996,-16.992222222222225,0.9480555555555557,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,3,-21.856245833333332,16.103849999999994,-25.488333333333337,0.9480555555555554,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,4,-27.073920069444444,19.94827249999999,-33.98444444444445,0.9480555555555557,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,5,-31.50894317013889,23.216031624999992,-42.48055555555556,0.9480555555555557,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,6,-35.278712805729164,25.99362688124999,-50.976666666666674,0.9480555555555554,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,7,-38.4830169959809,28.354582849062485,-59.472777777777786,0.9480555555555555,0.83000017
prior_theta1_scenario_a,初始公共信念 p1（场景 A）,prior_theta1,初始公共信念 p1,scenario_a,0.83,8,-41.20667555769488,30.36139542170311,-67.9688888888889,0.9480555555555555,0.83000017
