seed,learning_rate,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy,defender_vf_loss,attacker_vf_loss
1,0.0001,1,1.304368495941162,256,-558.2,50.0,-255.8,-302.4,0.02686435356736183,0.032022591680288315,3.41787052154541,3.4081955552101135,9.81914758682251,9.93061113357544
1,0.0001,2,2.5345191955566406,512,-540.0,50.0,-68.7,-471.3,-0.016609620302915573,-0.015488840639591217,3.404339075088501,3.3764806389808655,9.553210854530334,9.899824261665344
1,0.0001,3,3.7239372730255127,768,-503.06666666666666,50.0,-10.0,-493.06666666666666,-0.018849731888622046,-0.009719918482005596,3.3792990148067474,3.3791043162345886,9.935983061790466,9.838389992713928
1,0.0001,4,4.932936906814575,1024,-500.35,50.0,24.35,-524.7,-0.015836405102163553,-0.01637357659637928,3.3833437860012054,3.4004061818122864,9.741241335868835,9.88974404335022
1,0.0001,5,6.109435319900513,1280,-510.24,50.0,123.24,-633.48,-0.010051608085632324,-0.015659241005778313,3.3363089561462402,3.394645243883133,9.772652864456177,9.961179733276367
1,0.0001,6,7.321004390716553,1536,-511.4,50.0,161.53333333333333,-672.9333333333333,-0.018107812851667404,-0.014096153900027275,3.3272606134414673,3.3830564618110657,9.857070207595825,10.0
1,0.0001,7,8.557530879974365,1792,-507.9714285714286,50.0,167.6,-675.5714285714286,-0.012339271605014801,-0.010774422436952591,3.318068891763687,3.3555667102336884,10.0,9.962750792503357
1,0.0001,8,9.705916404724121,2048,-505.95,50.0,171.125,-677.075,-0.01405959203839302,-0.012670537456870079,3.3120076954364777,3.2994173169136047,9.62963616847992,9.912866353988647
1,0.0001,9,10.933984279632568,2304,-497.0217391304348,50.0,163.8695652173913,-660.8913043478261,-0.008688705042004585,-0.006824571639299393,3.337616741657257,3.2781547009944916,9.616321325302124,9.827129364013672
1,0.0001,10,12.121462106704712,2560,-493.7647058823529,50.0,177.0,-670.7647058823529,-0.013184323906898499,-0.012531310319900513,3.3498922884464264,3.2676538825035095,9.810898065567017,9.856224179267883
1,0.0001,11,13.323345184326172,2816,-486.94642857142856,50.0,187.19642857142858,-674.1428571428571,-0.013980910181999207,-0.009184785187244415,3.361769676208496,3.199200302362442,9.83234989643097,10.0
1,0.0001,12,14.604956150054932,3072,-476.9016393442623,50.0,207.60655737704917,-684.5081967213115,-0.013591032475233078,-0.008035219740122557,3.372109442949295,3.12046280503273,9.964124917984009,9.889737725257874
1,0.0001,13,15.840083360671997,3328,-471.3484848484849,50.0,206.57575757575756,-677.9242424242424,-0.01109413243830204,-0.018378072418272495,3.32408007979393,3.050512909889221,9.585617303848267,9.68003535270691
1,0.0001,14,17.070693254470825,3584,-460.90140845070425,50.0,211.80281690140845,-672.7042253521126,-0.011541049927473068,-0.011755477637052536,3.2854109406471252,2.882181406021118,9.892332911491394,9.923945546150208
1,0.0001,15,18.29325532913208,3840,-444.94736842105266,50.0,228.19736842105263,-673.1447368421053,-0.01294470950961113,-0.008850395679473877,3.226086676120758,2.7531614005565643,9.937086939811707,10.0
1,0.0001,16,19.449240922927856,4096,-435.8024691358025,50.0,229.1604938271605,-664.9629629629629,-0.014715710654854774,-0.012104017368983477,3.2172544300556183,2.6690190732479095,9.768503785133362,9.520016551017761
1,0.0001,17,20.695361614227295,4352,-415.4597701149425,50.0,252.60919540229884,-668.0689655172414,-0.014650612138211727,-0.0057277854066342115,3.1689606308937073,2.5579366087913513,9.92637586593628,9.970661520957947
1,0.0001,18,21.915074825286865,4608,-406.45652173913044,50.0,260.5108695652174,-666.9673913043479,-0.011347769759595394,-0.011959262192249298,3.2238889634609222,2.5137477815151215,9.718815922737122,9.853854179382324
1,0.0001,19,23.115285634994507,4864,-390.9484536082474,50.0,267.70103092783506,-658.6494845360825,-0.012009691447019577,-0.012046871706843376,3.209587812423706,2.50409796833992,9.74592411518097,9.824933052062988
1,0.0001,20,24.33094549179077,5120,-374.28,50.0,275.51,-649.79,-0.00867069500964135,-0.012351326644420624,3.170624166727066,2.3254481852054596,9.615145444869995,9.611764311790466
1,0.0001,21,25.576584339141846,5376,-358.76,50.0,301.33,-660.09,-0.01758866012096405,-0.014852844178676605,3.1750272512435913,2.2036005556583405,9.896574974060059,9.626676559448242
1,0.0001,22,26.75226640701294,5632,-343.66,50.0,308.69,-652.35,-0.01360001415014267,-0.005122702568769455,3.1860362887382507,2.0027704387903214,9.744312763214111,9.740479111671448
1,0.0001,23,27.927316904067993,5888,-326.94,50.0,308.97,-635.91,-0.00870236786431633,-0.01451955788070336,3.0524532794952393,1.8572221845388412,9.973676204681396,9.577899098396301
1,0.0001,24,29.12608289718628,6144,-312.57,50.0,306.59,-619.16,-0.007250003516674042,-0.012587273493409157,3.0333991944789886,1.6445692628622055,9.85447096824646,9.965197205543518
1,0.0001,25,30.48945689201355,6400,-293.49,50.0,278.73,-572.22,-0.013360781595110893,-0.01901763491332531,3.045748680830002,1.3597965240478516,9.701681017875671,8.45400595664978
1,0.0001,26,31.683202028274536,6656,-276.17,50.0,278.67,-554.84,-0.007615532260388136,-0.0005047967424616218,3.1103110313415527,1.1136850863695145,9.942776441574097,9.265601634979248
1,0.0001,27,32.873613357543945,6912,-256.81,50.0,257.87,-514.68,-0.006187893450260162,-0.008960459381341934,3.0730509161949158,1.0295753702521324,9.564842700958252,8.614262461662292
1,0.0001,28,34.07479953765869,7168,-238.98,50.0,265.93,-504.91,-0.012333590537309647,-0.0031591206789016724,2.923866480588913,0.9371626600623131,9.791283130645752,9.854687690734863
1,0.0001,29,35.268083810806274,7424,-222.72,50.0,275.74,-498.46,-0.008429817855358124,-0.005571577697992325,2.943240612745285,0.9876111447811127,9.798755526542664,9.539738059043884
1,0.0001,30,36.48073673248291,7680,-206.04,50.0,273.21,-479.25,-0.008148135617375374,-0.004059146624058485,2.801083415746689,1.0075372755527496,9.78176498413086,9.199306845664978
1,0.0001,31,37.69899773597717,7936,-189.43,50.0,258.88,-448.31,-0.016978340223431587,-0.0038706513587385416,3.0193155109882355,1.0481651797890663,9.84472393989563,8.840704798698425
1,0.0001,32,38.89603281021118,8192,-173.34,50.0,267.62,-440.96,-0.006650853902101517,-0.006557004526257515,3.050698935985565,1.005620189011097,9.824574947357178,9.391677975654602
1,0.0001,33,40.098108530044556,8448,-159.74,50.0,247.75,-407.49,-0.014270517975091934,-0.0018843859434127808,3.1298914551734924,1.0044145062565804,9.813453912734985,9.346365332603455
1,0.0001,34,41.24385738372803,8704,-153.06,50.0,247.62,-400.68,-0.008523453027009964,-0.0038749538362026215,3.0936824679374695,1.0488227903842926,9.783199787139893,9.406855940818787
1,0.0001,35,42.41666316986084,8960,-140.28,50.0,240.1,-380.38,-0.018469225615262985,-0.0014408715069293976,2.977201223373413,0.9938913732767105,9.64401650428772,8.485397040843964
1,0.0001,36,43.638919830322266,9216,-138.68,50.0,233.87,-372.55,-0.009287048131227493,-0.005473725497722626,3.003891110420227,0.9850088283419609,9.829816818237305,9.414331197738647
1,0.0001,37,44.86152195930481,9472,-129.93,50.0,227.71,-357.64,-0.012957066297531128,-0.002364031970500946,2.9898363053798676,1.0276849865913391,9.908222675323486,8.900215864181519
1,0.0001,38,46.022382497787476,9728,-126.97,50.0,216.53,-343.5,-0.008059212006628513,-0.006839397829025984,2.965226411819458,1.0270224586129189,9.860977292060852,8.817493677139282
1,0.0001,39,47.21476650238037,9984,-125.75,50.0,215.1,-340.85,-0.01700912043452263,-0.0046243853867053986,2.8404197990894318,1.019505500793457,9.604233384132385,9.30937647819519
1,0.0001,40,48.43200206756592,10240,-122.51,50.0,218.05,-340.56,-0.013284847140312195,-0.005673162639141083,2.7422236800193787,1.0457467436790466,9.886051893234253,9.254751443862915
1,0.0001,41,49.608116149902344,10496,-116.78,50.0,215.97,-332.75,-0.015113379806280136,-6.339326500892639e-05,2.7700509428977966,1.0977827161550522,9.895634651184082,9.94006896018982
