seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,1,-39.6,57.08,-96.68,0.02936357446014881,0.010970601812005043,1.352721929550171
0,2,-36.1764705882353,45.94117647058823,-82.11764705882354,-0.00485732383094728,-0.009452098049223423,2.6356680393218994
0,3,-37.526315789473685,43.75,-81.27631578947368,-0.010624285787343979,-0.006067834794521332,3.938292980194092
0,4,-34.89,41.5,-76.39,-0.007251430302858353,-0.011152821592986584,5.249190807342529
0,5,-32.38,36.39,-68.77,-0.005999831482768059,-0.01140343677252531,6.531463861465454
0,6,-25.91,26.28,-52.19,-0.010322100948542356,-0.007835746393539011,7.821561098098755
0,7,-22.76,28.05,-50.81,-0.008251861087046564,-0.008449352346360683,9.107883214950562
0,8,-21.82,28.69,-50.51,-0.006587932468391955,-0.009280348313041031,10.406966209411621
0,9,-20.71,27.45,-48.16,-0.0017499695532023907,-0.007645375793799758,11.689796924591064
0,10,-24.22,37.67,-61.89,-0.00932043232023716,-0.006566148018464446,12.978562831878662
0,11,-23.02,37.31,-60.33,-0.00111829349771142,-0.006681226193904877,14.295565843582153
0,12,-27.11,43.87,-70.98,-0.008086334681138396,-0.008179965894669294,15.603839874267578
0,13,-25.4,53.14,-78.54,-0.012104808818548918,-0.010672993957996368,16.880127906799316
0,14,-20.06,49.37,-69.43,-0.011931795859709382,-0.008528625359758735,18.169857025146484
0,15,-18.05,51.7,-69.75,-0.009336620569229126,-0.004487998783588409,19.46409296989441
0,16,-11.19,46.25,-57.44,-0.015116121852770448,-0.004614075121935457,20.76911687850952
0,17,-8.48,37.06,-45.54,-0.0036747027188539505,-0.002218957059085369,22.07284903526306
0,18,-9.56,36.94,-46.5,-0.004668890731409192,-0.004452007589861751,23.38596487045288
0,19,-5.25,29.58,-34.83,-0.0036279787309467793,-0.012138878111727536,24.678508043289185
0,20,-14.97,39.41,-54.38,-0.007120097987353802,-0.007192365359514952,25.990664958953857
0,21,-18.95,45.02,-63.97,-0.0032944409176707268,-0.008948884904384613,27.28864884376526
0,22,-19.2,45.83,-65.03,-0.007097875466570258,-0.0041143844136968255,28.576323986053467
0,23,-19.38,49.23,-68.61,-0.005764896050095558,-0.004528887569904327,29.871533155441284
0,24,-12.33,41.79,-54.12,-0.002962860628031194,-0.002860735170543194,31.18064522743225
0,25,-10.22,42.33,-52.55,-0.003939785063266754,-0.007043052464723587,32.46544528007507
0,26,-8.44,47.21,-55.65,-0.003548317588865757,-0.009200974367558956,33.86134719848633
0,27,-4.99,45.91,-50.9,-0.006500944495201111,-0.00894782692193985,35.17725920677185
0,28,-4.34,50.98,-55.32,-0.0014604972675442696,-0.008374826982617378,36.464622259140015
0,29,-5.3,48.18,-53.48,-0.00455292547121644,-0.004227129742503166,37.75075125694275
0,30,-0.98,45.89,-46.87,-0.005733823403716087,-0.004484951496124268,39.09851121902466
0,31,2.9,41.48,-38.58,-0.0047519332729279995,-0.0018067113123834133,40.39270734786987
0,32,3.23,40.28,-37.05,-0.006059221923351288,-0.003136325627565384,41.68216133117676
0,33,6.07,39.52,-33.45,-0.006918389932252467,-0.0028499867767095566,42.99010419845581
0,34,6.05,37.67,-31.62,-0.0071562509983778,-0.002923429012298584,44.284088134765625
0,35,4.71,39.89,-35.18,-0.008264755364507437,-0.001337353140115738,45.59340214729309
0,36,9.32,40.38,-31.06,-0.00747324526309967,-0.004168853163719177,46.898330211639404
0,37,10.6,39.02,-28.42,-0.00420757569372654,-0.005319266114383936,48.18387246131897
0,38,9.93,43.56,-33.63,-0.0036411285400390625,-0.002966754138469696,49.49230146408081
0,39,10.7,43.93,-33.23,-0.00654469383880496,-0.005657866597175598,50.80086946487427
0,40,11.22,45.72,-34.5,-0.0064521674066782,-0.01639967004302889,52.084789752960205
0,41,13.91,47.09,-33.18,-0.0073324404656887054,-0.00492195226252079,53.396770000457764
0,42,18.6,46.07,-27.47,-0.004017967265099287,-0.0008333169389516115,54.73654294013977
0,43,23.43,46.78,-23.35,-0.006999926641583443,-0.00230134348385036,56.04980683326721
0,44,23.23,46.84,-23.61,-0.006027402821928263,-0.0030860486440360546,57.33635878562927
0,45,27.32,49.28,-21.96,-0.002539427950978279,-0.0031745992600917816,58.64338779449463
0,46,25.1,46.16,-21.06,-0.009703526273369789,-0.0033481381833553314,59.956377029418945
0,47,23.13,44.1,-20.97,-0.01076252106577158,-0.0031657572835683823,61.25107002258301
0,48,25.42,43.59,-18.17,-0.0046636369079351425,-0.004961756058037281,62.60426378250122
0,49,27.62,43.19,-15.57,-0.007422393886372447,-0.01233748346567154,63.89100480079651
0,50,24.56,43.57,-19.01,-0.0007741544395685196,-0.012019943445920944,65.19221878051758
0,51,23.79,47.5,-23.71,-0.0038344282656908035,-0.005546231754124165,66.48606061935425
0,52,22.79,45.89,-23.1,-0.005166508257389069,-0.005371740087866783,67.7705945968628
0,53,21.43,45.9,-24.47,-0.005293745547533035,-0.005941908806562424,69.07608437538147
0,54,29.54,47.94,-18.4,-0.0023872163146734238,-0.0028262450359761715,70.36439752578735
0,55,28.68,46.13,-17.45,-0.010584699688479304,-0.009056200971826911,71.64879155158997
0,56,32.81,47.97,-15.16,-0.007561774924397469,-0.007244551554322243,72.95328760147095
0,57,30.92,46.89,-15.97,-0.003459271974861622,-0.006588695105165243,74.24886560440063
0,58,33.12,48.64,-15.52,-0.005607798462733626,-0.0022263210266828537,75.55000591278076
0,59,33.01,47.16,-14.15,-0.006158089265227318,-0.006087135523557663,76.84498596191406
0,60,34.47,46.6,-12.13,-0.005144386552274227,-0.004570934921503067,78.14129281044006
0,61,38.11,47.51,-9.4,-0.0014236215502023697,-0.007997998967766762,79.43773198127747
0,62,33.35,43.34,-9.99,-0.005152134224772453,-0.005516734905540943,80.73102879524231
0,63,34.75,42.82,-8.07,-0.0073439376428723335,-0.00503180967643857,82.02271270751953
0,64,35.22,44.44,-9.22,-0.00557587412185967,-0.006438094889745116,83.3364007472992
0,65,36.74,44.8,-8.06,-0.01058541820384562,-0.0013419678434729576,84.63348364830017
0,66,40.63,46.98,-6.35,-0.0073835160583257675,-0.005174111574888229,85.9112286567688
0,67,43.3,49.3,-6.0,-0.00652399891987443,-0.002386242151260376,87.21850633621216
0,68,41.02,44.87,-3.85,-0.006147880107164383,-0.0008580917492508888,88.51462411880493
0,69,40.3,44.97,-4.67,-0.006553690880537033,-0.0038216467946767807,89.80564212799072
0,70,40.67,45.05,-4.38,-0.0036807693541049957,-0.0013729482889175415,91.10727310180664
0,71,42.39,46.86,-4.47,-0.014450661838054657,-0.0024470570497214794,92.41490697860718
0,72,47.7,52.91,-5.21,-0.00017173145897686481,-0.0030309073626995087,93.70086526870728
