episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack,parameter_name,parameter_value
0,0,0,1,1,1,0.30000001192092896,0.5451282262802124,0.6051615476608276,psi0,0.3
0,0,1,1,0,1,0.30000001192092896,0.3748592734336853,0.5619878768920898,psi0,0.3
0,0,2,0,1,0,0.30000001192092896,0.5407820343971252,0.42169269919395447,psi0,0.3
0,0,3,0,1,0,0.30000001192092896,0.525995671749115,0.3282569944858551,psi0,0.3
0,0,4,1,1,0,0.30000001192092896,0.5640634298324585,0.4348800480365753,psi0,0.3
0,1,0,1,1,1,0.09677419066429138,0.6614852547645569,0.8027799129486084,psi0,0.3
0,1,1,1,0,1,0.6315789222717285,0.2432626187801361,0.513923704624176,psi0,0.3
0,1,2,0,1,0,0.09677419066429138,0.5221379995346069,0.39820989966392517,psi0,0.3
0,1,3,0,1,0,0.09677419066429138,0.5918702483177185,0.13459496200084686,psi0,0.3
0,1,4,1,1,0,0.09677419066429138,0.693394124507904,0.2441163808107376,psi0,0.3
0,2,0,1,1,1,0.04417472705245018,0.7084736824035645,0.8608236908912659,psi0,0.3
0,2,1,1,0,0,0.7989631295204163,0.1713220775127411,0.44693219661712646,psi0,0.3
0,2,2,0,0,0,0.04417472705245018,0.4742092490196228,0.3877582848072052,psi0,0.3
0,2,3,0,1,0,0.04417472705245018,0.6088235974311829,0.058348316699266434,psi0,0.3
0,2,4,1,1,0,0.04417472705245018,0.7307872176170349,0.14633755385875702,psi0,0.3
0,3,0,1,1,1,0.027003567665815353,0.7163207530975342,0.8867366909980774,psi0,0.3
0,3,1,1,0,0,0.8687345385551453,0.1971057802438736,0.40122243762016296,psi0,0.3
0,3,2,0,1,0,0.30750221014022827,0.5089318752288818,0.3390325605869293,psi0,0.3
0,3,3,0,1,0,0.027003567665815353,0.6361389756202698,0.04473946616053581,psi0,0.3
0,3,4,1,1,0,0.027003567665815353,0.5921620726585388,0.1292790025472641,psi0,0.3
0,4,0,1,1,1,0.0199624951928854,0.7708317637443542,0.8973745703697205,psi0,0.3
0,4,1,1,0,0,0.900172233581543,0.22462736070156097,0.37405261397361755,psi0,0.3
0,4,2,0,1,0,0.0986713394522667,0.5530598163604736,0.350553959608078,psi0,0.3
0,4,3,0,1,0,0.0199624951928854,0.6732199192047119,0.033662520349025726,psi0,0.3
0,4,4,1,1,0,0.0199624951928854,0.5710180997848511,0.12065806239843369,psi0,0.3
0,5,0,1,1,1,0.01660429686307907,0.8645784854888916,0.8949800729751587,psi0,0.3
0,5,1,1,0,0,0.9158116579055786,0.2444814294576645,0.3825496733188629,psi0,0.3
0,5,2,0,1,0,0.04472905769944191,0.5549171566963196,0.36836934089660645,psi0,0.3
0,5,3,0,1,0,0.01660429686307907,0.7156670093536377,0.02875496633350849,psi0,0.3
0,5,4,1,0,0,0.01660429686307907,0.49901142716407776,0.11681491881608963,psi0,0.3
0,6,0,1,1,1,0.014844880439341068,0.8996369242668152,0.8958469033241272,psi0,0.3
0,6,1,1,0,1,0.924180269241333,0.260791152715683,0.510988175868988,psi0,0.3
0,6,2,0,1,0,0.027212323620915413,0.5413996577262878,0.4137977063655853,psi0,0.3
0,6,3,0,1,0,0.014844880439341068,0.731955885887146,0.025873133912682533,psi0,0.3
0,6,4,1,0,0,0.19426129758358002,0.44509559869766235,0.10206253081560135,psi0,0.3
0,7,0,1,1,1,0.013868582434952259,0.9193211793899536,0.8984639048576355,psi0,0.3
0,7,1,1,0,1,0.9288771748542786,0.20542217791080475,0.5843765735626221,psi0,0.3
0,7,2,0,1,0,0.02005664072930813,0.5103057026863098,0.35316601395606995,psi0,0.3
0,7,3,0,1,0,0.013868582434952259,0.7274484634399414,0.024234497919678688,psi0,0.3
0,7,4,1,1,0,0.5473787188529968,0.5818195343017578,0.09240705519914627,psi0,0.3
0,8,0,1,1,1,0.013307560235261917,0.9472259879112244,0.8946506977081299,psi0,0.3
0,8,1,1,0,0,0.9315935969352722,0.20269106328487396,0.4640614092350006,psi0,0.3
0,8,2,0,1,0,0.016651911661028862,0.5322872400283813,0.28938332200050354,psi0,0.3
0,8,3,0,1,0,0.013307560235261917,0.7334092855453491,0.02529783919453621,psi0,0.3
0,8,4,1,1,0,0.1673692762851715,0.6176881194114685,0.10891686379909515,psi0,0.3
0,9,0,1,1,1,0.01297825388610363,0.9533745050430298,0.8932700753211975,psi0,0.3
0,9,1,1,0,0,0.9331940412521362,0.28696537017822266,0.4189015328884125,psi0,0.3
0,9,2,0,1,0,0.01487073302268982,0.6184032559394836,0.26420822739601135,psi0,0.3
0,9,3,0,1,0,0.01297825388610363,0.7540162801742554,0.025349188596010208,psi0,0.3
0,9,4,1,1,0,0.06340012699365616,0.5154514312744141,0.10947240144014359,psi0,0.3
0,10,0,1,1,1,0.012782450765371323,0.9599331617355347,0.8997421264648438,psi0,0.3
0,10,1,1,0,0,0.9341477751731873,0.30823463201522827,0.3783375918865204,psi0,0.3
0,10,2,0,1,0,0.013883241452276707,0.6952714920043945,0.20546749234199524,psi0,0.3
0,10,3,0,1,0,0.012782450765371323,0.7810566425323486,0.02729053795337677,psi0,0.3
0,10,4,1,1,0,0.03379902243614197,0.5067510604858398,0.1240888237953186,psi0,0.3
0,11,0,1,1,1,0.012665113434195518,0.9699577689170837,0.8956682682037354,psi0,0.3
0,11,1,1,0,0,0.9347200393676758,0.3040030002593994,0.34985291957855225,psi0,0.3
0,11,2,0,1,0,0.013316094875335693,0.6991003751754761,0.19272702932357788,psi0,0.3
0,11,3,0,1,0,0.012665113434195518,0.8053216338157654,0.02691698633134365,psi0,0.3
0,11,4,1,0,0,0.022902484983205795,0.4704233407974243,0.13203829526901245,psi0,0.3
0,12,0,1,1,1,0.012594464235007763,0.9743756055831909,0.8960077166557312,psi0,0.3
0,12,1,1,0,0,0.9350649118423462,0.31912967562675476,0.4299674332141876,psi0,0.3
0,12,2,0,1,0,0.01298330258578062,0.6795321106910706,0.20898491144180298,psi0,0.3
0,12,3,0,1,0,0.012594464235007763,0.8245318531990051,0.025925884023308754,psi0,0.3
0,12,4,1,0,0,0.2273021787405014,0.4513956606388092,0.11279354244470596,psi0,0.3
0,13,0,1,1,1,0.012551802210509777,0.976536214351654,0.8918929100036621,psi0,0.3
0,13,1,1,0,0,0.9352732300758362,0.3428736627101898,0.48807764053344727,psi0,0.3
0,13,2,0,1,0,0.012785467319190502,0.6866912245750427,0.18447977304458618,psi0,0.3
0,13,3,0,1,0,0.012551802210509777,0.8217495083808899,0.023379605263471603,psi0,0.3
0,13,4,1,0,0,0.5770690441131592,0.4268565773963928,0.10877151787281036,psi0,0.3
0,14,0,1,1,1,0.012525996193289757,0.979081392288208,0.9011220335960388,psi0,0.3
0,14,1,1,0,1,0.9353992938995361,0.3793635964393616,0.5056718587875366,psi0,0.3
0,14,2,0,1,0,0.012666926719248295,0.7132753729820251,0.16841095685958862,psi0,0.3
0,14,3,0,1,0,0.012525996193289757,0.8282666206359863,0.023468326777219772,psi0,0.3
0,14,4,1,0,0,0.7758058309555054,0.40914207696914673,0.11060458421707153,psi0,0.3
0,15,0,1,1,1,0.012510369531810284,0.9810339212417603,0.906402051448822,psi0,0.3
0,15,1,1,0,1,0.9354756474494934,0.2983473837375641,0.513568639755249,psi0,0.3
0,15,2,0,1,0,0.012595557607710361,0.6581133604049683,0.15978029370307922,psi0,0.3
0,15,3,0,1,0,0.012510369531810284,0.8226311802864075,0.022907476872205734,psi0,0.3
0,15,4,1,1,0,0.8588595390319824,0.5822065472602844,0.10943595319986343,psi0,0.3
0,16,0,1,1,1,0.012500900775194168,0.9788134098052979,0.9004702568054199,psi0,0.3
0,16,1,1,0,0,0.9355219006538391,0.23562952876091003,0.41206780076026917,psi0,0.3
0,16,2,0,1,0,0.012552463449537754,0.6342819333076477,0.13036708533763885,psi0,0.3
0,16,3,0,1,0,0.012500900775194168,0.8156954050064087,0.0206734798848629,psi0,0.3
0,16,4,1,1,0,0.3487866520881653,0.622254490852356,0.1201888918876648,psi0,0.3
0,17,0,1,1,1,0.012495161965489388,0.9749956130981445,0.8989357948303223,psi0,0.3
0,17,1,1,0,0,0.9355499744415283,0.27411890029907227,0.350871205329895,psi0,0.3
0,17,2,0,1,0,0.012526396661996841,0.6954767107963562,0.12602123618125916,psi0,0.3
0,17,3,0,1,0,0.012495161965489388,0.8288214802742004,0.021467020735144615,psi0,0.3
0,17,4,1,0,0,0.10925400257110596,0.4925477206707001,0.12799996137619019,psi0,0.3
0,18,0,1,1,1,0.01249168161302805,0.9773730039596558,0.8978433609008789,psi0,0.3
0,18,1,1,0,0,0.9355669617652893,0.2946403920650482,0.431431382894516,psi0,0.3
0,18,2,0,1,0,0.012510611675679684,0.716224193572998,0.13437198102474213,psi0,0.3
0,18,3,0,1,0,0.01249168161302805,0.8404970765113831,0.02146969549357891,psi0,0.3
0,18,4,1,0,0,0.4452638626098633,0.47187528014183044,0.12091540545225143,psi0,0.3
0,19,0,1,1,1,0.01248957123607397,0.9813488125801086,0.8997039794921875,psi0,0.3
0,19,1,1,0,0,0.9355772733688354,0.3143784999847412,0.46218055486679077,psi0,0.3
0,19,2,0,1,0,0.012501047924160957,0.7093762159347534,0.13136237859725952,psi0,0.3
0,19,3,0,1,0,0.01248957123607397,0.8490334153175354,0.01988525688648224,psi0,0.3
0,19,4,1,0,0,0.7149560451507568,0.4391293227672577,0.11664825677871704,psi0,0.3
0,20,0,1,1,1,0.012488291598856449,0.9830675721168518,0.9060846567153931,psi0,0.3
0,20,1,1,0,0,0.9355835318565369,0.34635117650032043,0.46441009640693665,psi0,0.3
0,20,2,0,1,0,0.012495250441133976,0.6854101419448853,0.13650882244110107,psi0,0.3
0,20,3,0,1,0,0.012488291598856449,0.8563251495361328,0.019936049357056618,psi0,0.3
0,20,4,1,0,0,0.8335031270980835,0.4112355709075928,0.10644007474184036,psi0,0.3
0,21,0,1,1,1,0.012487515807151794,0.98286372423172,0.904621958732605,psi0,0.3
0,21,1,1,0,0,0.9355873465538025,0.36660274863243103,0.46944376826286316,psi0,0.3
0,21,2,0,1,0,0.012491735629737377,0.6906055808067322,0.13208895921707153,psi0,0.3
0,21,3,0,1,0,0.012487515807151794,0.8609354496002197,0.020162371918559074,psi0,0.3
0,21,4,1,0,0,0.8838930130004883,0.3934149146080017,0.10367045551538467,psi0,0.3
0,22,0,1,1,1,0.012487044557929039,0.9839406609535217,0.9093493819236755,psi0,0.3
0,22,1,1,0,0,0.935589611530304,0.38731950521469116,0.4662971794605255,psi0,0.3
0,22,2,0,1,0,0.012489603832364082,0.7096979022026062,0.12591102719306946,psi0,0.3
0,22,3,0,1,0,0.012487044557929039,0.8670362830162048,0.020588891580700874,psi0,0.3
0,22,4,1,0,0,0.907548189163208,0.3744196891784668,0.10983557254076004,psi0,0.3
0,23,0,1,1,1,0.012486759573221207,0.9849603772163391,0.9162793755531311,psi0,0.3
0,23,1,1,0,0,0.9355910420417786,0.4066222012042999,0.45636141300201416,psi0,0.3
0,23,2,0,1,0,0.012488311156630516,0.7095749378204346,0.1268317997455597,psi0,0.3
0,23,3,0,1,0,0.012486759573221207,0.8787784576416016,0.02024502493441105,psi0,0.3
0,23,4,1,0,0,0.9196987152099609,0.3865501284599304,0.10957177728414536,psi0,0.3
0,24,0,1,1,1,0.012486586347222328,0.9853543043136597,0.9148740172386169,psi0,0.3
0,24,1,1,0,0,0.9355918765068054,0.40455448627471924,0.45440056920051575,psi0,0.3
0,24,2,0,1,0,0.012487527914345264,0.6964235305786133,0.1143929660320282,psi0,0.3
0,24,3,0,1,0,0.012486586347222328,0.8862190246582031,0.018759358674287796,psi0,0.3
0,24,4,1,0,0,0.9263404607772827,0.3885079324245453,0.10970791429281235,psi0,0.3
0,25,0,1,1,1,0.012486481107771397,0.9855369925498962,0.9119232892990112,psi0,0.3
0,25,1,1,0,0,0.9355923533439636,0.40819597244262695,0.4576946198940277,psi0,0.3
0,25,2,0,1,0,0.012487052008509636,0.6915380358695984,0.10756996273994446,psi0,0.3
0,25,3,0,1,0,0.012486481107771397,0.8885997533798218,0.018506906926631927,psi0,0.3
0,25,4,1,0,0,0.9301187992095947,0.3718017637729645,0.1122870072722435,psi0,0.3
0,26,0,1,1,1,0.012486417777836323,0.9863422513008118,0.9116518497467041,psi0,0.3
0,26,1,1,0,0,0.9355927109718323,0.42104771733283997,0.4606943726539612,psi0,0.3
0,26,2,0,1,0,0.012486763298511505,0.6844461560249329,0.1134079322218895,psi0,0.3
0,26,3,0,1,0,0.012486417777836323,0.8934807181358337,0.019165879115462303,psi0,0.3
0,26,4,1,0,0,0.9323223829269409,0.35780754685401917,0.11186802387237549,psi0,0.3
0,27,0,1,1,1,0.012486378662288189,0.9865381717681885,0.9103926420211792,psi0,0.3
0,27,1,1,0,0,0.9355928897857666,0.4319341778755188,0.4542277455329895,psi0,0.3
0,27,2,0,1,0,0.012486589141190052,0.6719834804534912,0.11944533884525299,psi0,0.3
0,27,3,0,1,0,0.012486378662288189,0.899752140045166,0.019165368750691414,psi0,0.3
0,27,4,1,0,0,0.9336273074150085,0.3492269814014435,0.11107753217220306,psi0,0.3
0,28,0,1,1,1,0.012486355379223824,0.9869412779808044,0.909533679485321,psi0,0.3
0,28,1,1,0,0,0.9355930089950562,0.44795605540275574,0.45029163360595703,psi0,0.3
0,28,2,0,1,0,0.012486482970416546,0.6606655716896057,0.12055203318595886,psi0,0.3
0,28,3,0,1,0,0.012486355379223824,0.9051669836044312,0.018911460414528847,psi0,0.3
0,28,4,1,0,0,0.9344074130058289,0.3445230722427368,0.11053724586963654,psi0,0.3
0,29,0,1,1,1,0.012486341409385204,0.9872841835021973,0.9090175032615662,psi0,0.3
0,29,1,1,0,0,0.9355930685997009,0.4635317921638489,0.4456653594970703,psi0,0.3
0,29,2,0,1,0,0.012486418709158897,0.650830864906311,0.1205017939209938,psi0,0.3
0,29,3,0,1,0,0.012486341409385204,0.9099943041801453,0.01871657185256481,psi0,0.3
0,29,4,1,0,0,0.9348763823509216,0.3392646610736847,0.11047178506851196,psi0,0.3
0,30,0,1,1,1,0.012486332096159458,0.9875784516334534,0.9086787700653076,psi0,0.3
0,30,1,1,0,0,0.9355931282043457,0.4781929552555084,0.44093403220176697,psi0,0.3
0,30,2,0,1,0,0.012486379593610764,0.642216145992279,0.11989688873291016,psi0,0.3
