variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
SG-MAPPO,1,9.685237884521484,1050,3.761904761904762,50.0,78.28571428571429,-74.52380952380952,0.032744532288052144,-0.11563590760342776,3.3709432005882265,3.4050054252147675
SG-MAPPO,2,19.42811369895935,2100,-93.30952380952381,50.0,173.23809523809524,-266.54761904761904,-0.16454964596778154,0.06661271639168262,3.348781219124794,3.3882799237966537
SG-MAPPO,3,29.122613668441772,3150,-145.0793650793651,50.0,227.22222222222223,-372.3015873015873,-0.13637676327489318,0.017313034704420714,3.318640521168709,3.38325272500515
SG-MAPPO,4,38.679168701171875,4200,-170.52380952380952,50.0,255.95238095238096,-426.4761904761905,-0.17347647876595146,0.012896847358206287,3.319053906202316,3.347350239753723
SG-MAPPO,5,48.36880874633789,5250,-187.41,50.0,277.44,-464.85,0.0038526327116414905,-0.13910778304561972,3.329671233892441,3.3371517091989515
SG-MAPPO,6,57.860758781433105,6300,-201.71,50.0,295.55,-497.26,-0.07648510953877122,-0.054961123527027665,3.291431626677513,3.3222170233726502
SG-MAPPO,7,67.65528607368469,7350,-204.1,50.0,303.22,-507.32,-0.061057273828191684,-0.12111060989554971,3.3095467031002044,3.306271752715111
SG-MAPPO,8,77.40808606147766,8400,-169.37,50.0,273.43,-442.8,-0.03896576532861218,-0.08635634311940521,3.301890808343887,3.2663598358631134
SG-MAPPO,9,87.18885612487793,9450,-162.56,50.0,264.64,-427.2,-0.0899243015795946,-0.060319690010510386,3.2869845241308213,3.241377466917038
SG-MAPPO,10,96.8038158416748,10500,-164.47,50.0,267.72,-432.19,-0.04746286142617464,-0.09786489353282377,3.3087730944156646,3.2290622651576997
SG-MAPPO,11,106.4005389213562,11550,-152.36,50.0,268.58,-420.94,-0.2059345717774704,0.06885073037119582,3.294309115409851,3.20767280459404
SG-MAPPO,12,116.04214310646057,12600,-120.22,50.0,243.86,-364.08,-0.04806021669646725,-0.08082317602820695,3.2602863758802414,3.179345366358757
SG-MAPPO,13,125.74821305274963,13650,-91.34,50.0,219.74,-311.08,0.07408185501117259,-0.2216028312454,3.2713559687137606,3.1490960121154785
SG-MAPPO,14,135.32621312141418,14700,-117.54,50.0,248.27,-365.81,-0.08120921598747373,-0.05736533291637898,3.2113059014081955,3.134945210814476
SG-MAPPO,15,144.95319199562073,15750,-125.64,50.0,260.85,-386.49,-0.07002839092165232,-0.11752573541598395,3.195779538154602,3.1157636106014253
SG-MAPPO,16,154.55705285072327,16800,-128.88,50.0,260.52,-389.4,-0.06892627628985792,-0.08468612600117922,3.2036070585250855,3.089648985862732
SG-MAPPO,17,164.15615963935852,17850,-124.4,50.0,274.05,-398.45,-0.009754681400954724,-0.13991397242061793,3.1767923712730406,3.0499845325946806
SG-MAPPO,18,173.77486062049866,18900,-102.4,50.0,252.45,-354.85,-0.02585361450910568,-0.13941297219134868,3.1632299810647964,3.034082442522049
SG-MAPPO,19,183.41878271102905,19950,-79.54,50.0,235.06,-314.6,-0.08101410983363166,-0.06495049382792786,3.147287702560425,3.0188768297433852
SG-MAPPO,20,193.07100558280945,21000,-40.27,50.0,209.7,-249.97,-0.0024795209988951682,-0.16856697069306392,3.1526505440473556,2.9943634450435637
SG-MAPPO,21,202.70076966285706,22050,-57.33,50.0,234.45,-291.78,-0.0791635604284238,-0.0812081404030323,3.1053823620080947,3.040547674894333
SG-MAPPO,22,212.32605075836182,23100,-110.0,50.0,270.68,-380.68,-0.2203760315605905,0.07746812589466572,3.036643886566162,3.051120066642761
SG-MAPPO,23,221.99027371406555,24150,-127.66,50.0,273.26,-400.92,-0.07090806878404692,-0.05392500376328826,3.05902781188488,3.0332953304052355
SG-MAPPO,24,231.63590669631958,25200,-143.19,50.0,283.66,-426.85,-0.1332701512495987,-0.028460888663539664,3.0204329609870912,3.0166319102048873
SG-MAPPO,25,241.34079957008362,26250,-136.06,50.0,265.64,-401.7,0.057547526573762296,-0.22376311151310802,3.0711586594581606,2.9213981837034226
SG-MAPPO,26,251.03190350532532,27300,-160.29,50.0,284.34,-444.63,-0.02520580030977726,-0.14711963422596455,3.024003541469574,2.952077326178551
SG-MAPPO,27,260.7571077346802,28350,-150.3,50.0,284.18,-434.48,-0.1107009930536151,-0.06088105109520257,2.9788812547922134,2.989876443147659
SG-MAPPO,28,270.45751786231995,29400,-151.41,50.0,301.65,-453.06,-0.010290816565975547,-0.17510207060258837,2.9737976640462875,2.9122937679290772
SG-MAPPO,29,280.2365379333496,30450,-150.65,50.0,301.85,-452.5,-0.08402706710621714,-0.062351688160561025,2.9583166986703873,2.9084220319986342
SG-MAPPO,30,289.8197340965271,31500,-146.3,50.0,288.6,-434.9,-0.006071506161242723,-0.18125261031091214,2.9419491320848463,2.863523116707802
