variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
w/o LSTM,1,6.627837896347046,1050,-33.19047619047619,50.0,36.61904761904762,-69.80952380952381,-0.03584536620312267,-0.03532841349951923,3.4583645741144817,3.460088398721483
w/o LSTM,2,12.698591947555542,2100,-123.5952380952381,50.0,158.88095238095238,-282.4761904761905,-0.03502596684007181,-0.02432056710951858,3.446366545889113,3.452398167716132
w/o LSTM,3,18.704989910125732,3150,-170.9047619047619,50.0,220.6984126984127,-391.6031746031746,-0.02510427674682837,-0.02496579909024553,3.4372815132141112,3.445749184820387
w/o LSTM,4,24.68083620071411,4200,-196.54761904761904,50.0,259.70238095238096,-456.25,-0.03099076649070614,-0.030762074199608632,3.4207771672142875,3.442683373557197
w/o LSTM,5,30.72012424468994,5250,-212.67,50.0,284.58,-497.25,-0.030103695666831402,-0.03926112268947893,3.4083441257476808,3.4291406101650663
w/o LSTM,6,36.666850090026855,6300,-226.44,50.0,315.73,-542.17,-0.023795274153558744,-0.02495008771204286,3.388336843914456,3.4195112387339273
w/o LSTM,7,42.71266722679138,7350,-229.49,50.0,320.38,-549.87,-0.03912556889570422,-0.0342256096088224,3.3885674450132584,3.412837521235148
w/o LSTM,8,48.70532298088074,8400,-195.15,50.0,282.63,-477.78,-0.04082164630914728,-0.03342790404955546,3.3777057939105566,3.397385040918986
w/o LSTM,9,54.69177293777466,9450,-189.35,50.0,281.95,-471.3,-0.02687203869637516,-0.027674805000424386,3.3579395585589937,3.379292991426256
w/o LSTM,10,60.771750926971436,10500,-189.07,50.0,276.21,-465.28,-0.027032827221167583,-0.041763969138264655,3.3385266012615626,3.365204456117418
w/o LSTM,11,66.72708582878113,11550,-171.95,50.0,261.54,-433.49,-0.02842795761405594,-0.04050968907152613,3.3303070306777953,3.35573714044359
w/o LSTM,12,72.74295377731323,12600,-142.39,50.0,227.22,-369.61,-0.02854274110092471,-0.03739183618583613,3.3249567985534667,3.356530785560608
w/o LSTM,13,78.74599981307983,13650,-124.01,50.0,197.7,-321.71,-0.0330046572515534,-0.0263251584657054,3.3132262309392293,3.340265893936157
w/o LSTM,14,84.79087781906128,14700,-152.1,50.0,233.68,-385.78,-0.02278598320359985,-0.03209772862287031,3.313870668411255,3.3411539369159273
w/o LSTM,15,90.80780076980591,15750,-165.48,50.0,246.55,-412.03,-0.023126179455882974,-0.02966076432623797,3.3116183148490057,3.3231187529034085
w/o LSTM,16,97.08411645889282,16800,-175.36,50.0,254.27,-429.63,-0.02917132066666252,-0.034330055262479515,3.2901877138349747,3.3154564751519096
w/o LSTM,17,103.12396764755249,17850,-172.75,50.0,264.81,-437.56,-0.030496291164308787,-0.042750769574195144,3.272747611999512,3.2992809057235717
w/o LSTM,18,109.08159255981445,18900,-148.4,50.0,233.56,-381.96,-0.029657049766845172,-0.03740742426986496,3.255503471692403,3.27372432284885
w/o LSTM,19,115.09571075439453,19950,-131.03,50.0,220.1,-351.13,-0.0350241577770147,-0.03138133939355612,3.2633780346976384,3.270435086886088
w/o LSTM,20,121.10953974723816,21000,-92.44,50.0,173.96,-266.4,-0.02216766045635773,-0.0360698902565572,3.23793420791626,3.2531434959835477
w/o LSTM,21,127.06945371627808,22050,-106.9,50.0,194.38,-301.28,-0.03577365304032962,-0.03735424745827913,3.244613112343682,3.2572775310940214
w/o LSTM,22,133.1119978427887,23100,-154.05,50.0,244.69,-398.74,-0.02856301363143656,-0.03916471661068499,3.2379519912931656,3.2353174633449977
w/o LSTM,23,139.11310291290283,24150,-168.94,50.0,264.03,-432.97,-0.03090686871566706,-0.04148972195366191,3.2117156161202325,3.232506039407518
w/o LSTM,24,145.1108238697052,25200,-179.09,50.0,290.93,-470.02,-0.02973498181672767,-0.04401906456591354,3.2057279454337224,3.230291912290785
w/o LSTM,25,151.09388279914856,26250,-169.9,50.0,286.5,-456.4,-0.032746212753570744,-0.025732639214644828,3.212293299039205,3.2392038954628837
w/o LSTM,26,157.0325367450714,27300,-193.43,50.0,315.09,-508.52,-0.025457222739027605,-0.026889226399362087,3.2084752798080443,3.230683202213711
w/o LSTM,27,163.06057691574097,28350,-179.22,50.0,301.29,-480.51,-0.023896596539351674,-0.04053867662894643,3.169882133271959,3.2323563655217487
w/o LSTM,28,169.03117990493774,29400,-189.2,50.0,313.41,-502.61,-0.030696271929062074,-0.03538510679370827,3.124319733513726,3.2298488352033825
w/o LSTM,29,175.00132584571838,30450,-193.18,50.0,310.51,-503.69,-0.027343538421620097,-0.029876101290897673,3.1086557865142823,3.227821448114183
w/o LSTM,30,180.9757387638092,31500,-187.19,50.0,306.79,-493.98,-0.025545327303310234,-0.03139081575597326,3.083271622657776,3.2226123571395875
