variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
w/o belief,1,8.86897611618042,1050,-6.095238095238095,50.0,71.85714285714286,-77.95238095238095,0.03524308573687449,-0.12219298678683117,3.3709390342235563,3.420429089665413
w/o belief,2,17.64878511428833,2100,-109.71428571428571,50.0,177.83333333333334,-287.54761904761904,-0.18583550602197646,0.08064093627035618,3.362700966000557,3.405384194850922
w/o belief,3,26.547697067260742,3150,-158.33333333333334,50.0,224.5873015873016,-382.92063492063494,-0.1426610548282042,0.023279694188386203,3.3381620049476624,3.4021314710378645
w/o belief,4,35.413681983947754,4200,-185.20238095238096,50.0,254.17857142857142,-439.3809523809524,-0.2146005397255067,0.04473570019472391,3.3300614058971405,3.3771662563085556
w/o belief,5,44.19308876991272,5250,-205.43,50.0,276.09,-481.52,-0.001506202860036865,-0.13415976802352816,3.336289104819298,3.3513295650482178
w/o belief,6,53.02440786361694,6300,-222.88,50.0,304.25,-527.13,-0.06810576751595362,-0.06917130528890994,3.3178389996290205,3.3226711958646775
w/o belief,7,61.85914421081543,7350,-227.62,50.0,317.2,-544.82,-0.03600283893756569,-0.13222715969895943,3.292848226428032,3.288008150458336
w/o belief,8,70.78163528442383,8400,-196.54,50.0,283.59,-480.13,-0.01872530309483409,-0.07062951502739452,3.311720776557922,3.2899456709623336
w/o belief,9,79.6738212108612,9450,-191.54,50.0,278.51,-470.05,-0.06608201854396611,-0.06357169395196252,3.268285337090492,3.247000613808632
w/o belief,10,88.56937718391418,10500,-194.23,50.0,288.18,-482.41,-0.04695678878342733,-0.09532368673244491,3.2790917247533797,3.269941672682762
w/o belief,11,97.39893007278442,11550,-185.34,50.0,280.5,-465.84,-0.21207073598052376,0.08220132602727973,3.2484861999750136,3.254543113708496
w/o belief,12,106.34004616737366,12600,-152.9,50.0,248.54,-401.44,-0.084425790165551,-0.06590883468743414,3.248850530385971,3.2329385727643967
w/o belief,13,115.2707588672638,13650,-127.1,50.0,220.08,-347.18,0.06268024630844593,-0.20717290798202156,3.1953502744436264,3.2278445571660996
w/o belief,14,124.13622188568115,14700,-155.6,50.0,252.21,-407.81,-0.09033705913461745,-0.05179290721425787,3.1897919356822966,3.2329057812690736
w/o belief,15,132.8424220085144,15750,-159.07,50.0,254.05,-413.12,-0.0073406381998211145,-0.1337819136213511,3.1963254898786544,3.1946134209632873
w/o belief,16,141.57085585594177,16800,-163.67,50.0,264.59,-428.26,-0.09418823197484016,-0.06220222655683756,3.206684747338295,3.153574767708778
w/o belief,17,150.3377809524536,17850,-163.63,50.0,260.8,-424.43,-0.06415084814652801,-0.09414551719091832,3.1605076998472215,3.168791800737381
w/o belief,18,159.0902440547943,18900,-146.95,50.0,237.58,-384.53,-0.013999961013905705,-0.1360199643764645,3.1501489251852037,3.148956573009491
w/o belief,19,167.86363410949707,19950,-130.37,50.0,219.92,-350.29,-0.061081070319050926,-0.060660083405673505,3.121879291534424,3.167134094238281
w/o belief,20,176.64115500450134,21000,-94.48,50.0,175.4,-269.88,-0.023523720540106298,-0.1551759196445346,3.116945305466652,3.1194756835699082
w/o belief,21,185.57559609413147,22050,-118.12,50.0,198.06,-316.18,-0.022707805573008954,-0.10272260988131166,3.04590205848217,3.115839311480522
w/o belief,22,194.39691519737244,23100,-173.3,50.0,250.29,-423.59,-0.21277623381465674,0.07127529233694077,2.986029776930809,3.114114078879356
w/o belief,23,203.32992601394653,24150,-187.95,50.0,255.18,-443.13,-0.106583505962044,-0.03679803041741252,3.0687518656253814,3.0856878995895385
w/o belief,24,212.1246280670166,25200,-208.96,50.0,279.36,-488.32,-0.12913992796093227,-0.017369236098602414,2.96878961622715,3.079756098985672
w/o belief,25,220.94474506378174,26250,-205.5,50.0,264.27,-469.77,0.005918863997794688,-0.17832560506649314,3.0309934228658677,3.0249367237091063
w/o belief,26,229.77399826049805,27300,-229.06,50.0,297.47,-526.53,-0.05847529767488595,-0.10660857101902366,2.943675845861435,3.0325564444065094
w/o belief,27,238.49588322639465,28350,-212.82,50.0,271.42,-484.24,-0.13325367122888565,-0.043210342392558235,2.975480020046234,2.9968923032283783
w/o belief,28,247.31117939949036,29400,-212.05,50.0,284.78,-496.83,0.04167190669104457,-0.18758678585290908,3.024310314655304,2.967195764183998
w/o belief,29,256.2931535243988,30450,-205.02,50.0,267.71,-472.73,-0.15650343195302413,0.003071208205074072,2.9175395876169206,2.988119339942932
w/o belief,30,265.19674372673035,31500,-197.89,50.0,262.16,-460.05,0.014384992810664698,-0.16959325634525158,2.995772588253021,2.9462835490703583
