variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
去除LSTM,1,6.451725006103516,1100,30.818181818181817,100.0,-57.81818181818182,88.63636363636364,-0.030317993989835184,-0.02592758640853895,3.4591230339474146,3.459596535894606
去除LSTM,2,12.868675947189331,2200,-112.68181818181819,100.0,122.63636363636364,-235.3181818181818,-0.0300677589347793,-0.03243303833425873,3.449335289001465,3.4512471199035644
去除LSTM,3,19.314018726348877,3300,-263.45454545454544,100.0,352.8787878787879,-616.3333333333334,-0.028745223126477665,-0.034137893199092814,3.436831667688158,3.444442163573371
去除LSTM,4,25.74324679374695,4400,-278.8181818181818,100.0,391.8181818181818,-670.6363636363636,-0.03972238709943162,-0.035793915525492694,3.4299965805477566,3.4268227736155192
去除LSTM,5,32.17933106422424,5500,-308.2181818181818,100.0,454.74545454545455,-762.9636363636364,-0.03802702421218985,-0.033407438132497996,3.4159078068203397,3.421768140792847
去除LSTM,6,38.578219175338745,6600,-356.3636363636364,100.0,532.0909090909091,-888.4545454545455,-0.03583076859617399,-0.03431537401758962,3.3982417080137464,3.4072359138064914
去除LSTM,7,45.00799322128296,7700,-383.76623376623377,100.0,565.3376623376623,-949.1038961038961,-0.039675318811916646,-0.037751818241344555,3.3833474556605023,3.3875449180603026
去除LSTM,8,51.44398331642151,8800,-392.2386363636364,100.0,578.1136363636364,-970.3522727272727,-0.036265841292010416,-0.040361713618040085,3.3806115097469753,3.375760489039951
去除LSTM,9,57.870912313461304,9900,-392.6363636363636,100.0,572.1414141414141,-964.7777777777778,-0.03834339328524139,-0.03218960677428792,3.3602918757332696,3.375554182794359
去除LSTM,10,64.41388940811157,11000,-434.22,100.0,645.52,-1079.74,-0.0391815868516763,-0.04061532944647802,3.3551855670081245,3.3656502776675756
去除LSTM,11,70.79917645454407,12100,-447.43,100.0,680.82,-1128.25,-0.041350241791870856,-0.04057673374190927,3.3228179587258233,3.3444202131695215
去除LSTM,12,77.22617840766907,13200,-421.0,100.0,650.17,-1071.17,-0.03654317503872638,-0.03783252772991545,3.3247495174407957,3.3421803209516736
去除LSTM,13,83.76121544837952,14300,-399.7,100.0,636.37,-1036.07,-0.03965794040511052,-0.03662832669085926,3.2891976647906835,3.3279609971576267
去除LSTM,14,90.16785860061646,15400,-404.06,100.0,632.53,-1036.59,-0.04084333628416061,-0.03793669768816067,3.288899215062459,3.32593490547604
去除LSTM,15,96.6241204738617,16500,-363.18,100.0,566.72,-929.9,-0.03889874128831757,-0.039487033606403404,3.2830526298946805,3.3083106809192233
去除LSTM,16,103.15946936607361,17600,-365.05,100.0,576.75,-941.8,-0.03991195000190702,-0.03729642119465603,3.2600976016786363,3.2778110027313234
去除LSTM,17,109.57013654708862,18700,-345.32,100.0,561.62,-906.94,-0.04265255685895682,-0.03933517871838477,3.243686493237813,3.27945130666097
去除LSTM,18,116.04703760147095,19800,-337.95,100.0,571.37,-909.32,-0.041559982910338376,-0.037755541182640524,3.214215064048767,3.262055990431044
去除LSTM,19,122.53847432136536,20900,-346.19,100.0,568.29,-914.48,-0.04854252506047487,-0.040999532237442,3.220543458726671,3.2567351818084718
去除LSTM,20,128.95601439476013,22000,-348.84,100.0,585.47,-934.31,-0.03896371730499797,-0.040126695522889756,3.1929847293429905,3.2446742667092217
去除LSTM,21,135.4067463874817,23100,-316.65,100.0,555.39,-872.04,-0.043141158711579114,-0.03857105408484737,3.16302498181661,3.2496276087231104
去除LSTM,22,141.87091827392578,24200,-310.82,100.0,545.35,-856.17,-0.04002143454013599,-0.03912716203679641,3.160368702146742,3.224850233395894
