variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
完整SG-MAPPO,1,10.787661075592041,1100,121.54545454545455,100.0,12.909090909090908,108.63636363636364,-0.04243688119782342,-0.0421930193901062,3.3773577319251165,3.402345577875773
完整SG-MAPPO,2,21.618184328079224,2200,-20.5,100.0,178.72727272727272,-199.22727272727272,-0.053599734286156796,-0.03921536650094721,3.342619670761956,3.3833640178044635
完整SG-MAPPO,3,32.442615270614624,3300,-186.57575757575756,100.0,352.90909090909093,-539.4848484848485,-0.060387760618080696,-0.05529452612002691,3.3491435766220095,3.3489258183373347
完整SG-MAPPO,4,43.30199718475342,4400,-195.1590909090909,100.0,354.95454545454544,-550.1136363636364,-0.09273041362563769,-0.04001535814669397,3.315818460782369,3.309741062588162
完整SG-MAPPO,5,54.16238331794739,5500,-216.38181818181818,100.0,386.3818181818182,-602.7636363636364,-0.1040944189661079,-0.0226903119434913,3.2960184945000544,3.2770309925079344
完整SG-MAPPO,6,64.93804121017456,6600,-268.8181818181818,100.0,443.5,-712.3181818181819,-0.06299081817269325,-0.0651536332986628,3.2219667275746664,3.27757834593455
完整SG-MAPPO,7,75.64681124687195,7700,-296.6363636363636,100.0,459.84415584415586,-756.4805194805194,-0.06253438486148499,-0.06967210235695044,3.2614943239423964,3.2510740041732786
完整SG-MAPPO,8,86.73792910575867,8800,-304.6136363636364,100.0,483.95454545454544,-788.5681818181819,-0.05546136925307413,-0.08884217982283897,3.2517287519243028,3.256468073527018
完整SG-MAPPO,9,97.59496712684631,9900,-306.17171717171715,100.0,492.25252525252523,-798.4242424242424,-0.09025226790044043,-0.04837979628807969,3.19630213048723,3.2162595007154677
完整SG-MAPPO,10,108.4506151676178,11000,-350.46,100.0,551.06,-901.52,-0.07145766135719088,-0.07203154423688021,3.1600207567214964,3.2265509393480087
完整SG-MAPPO,11,119.34780597686768,12100,-365.15,100.0,571.02,-936.17,-0.049244468700554635,-0.07998193514843782,3.1700932370291817,3.204867031839159
完整SG-MAPPO,12,130.2231318950653,13200,-340.97,100.0,557.16,-898.13,-0.11135465152975586,-0.03688103717027439,3.109609670109219,3.2236868196063573
完整SG-MAPPO,13,141.22925901412964,14300,-330.53,100.0,548.38,-878.91,-0.07503134680446237,-0.0702866735557715,3.157001747025384,3.2150048944685192
完整SG-MAPPO,14,152.21062397956848,15400,-347.93,100.0,555.6,-903.53,-0.09893348217010497,-0.04397744681272242,3.054490746392144,3.232044381565518
完整SG-MAPPO,15,163.2455291748047,16500,-313.01,100.0,531.41,-844.42,-0.10274547036323282,-0.03414028500103288,3.075688436296251,3.194911313056946
完整SG-MAPPO,16,174.15900897979736,17600,-324.86,100.0,560.11,-884.97,-0.09284419683843023,-0.06493768306035134,2.891757255130344,3.222686677508884
完整SG-MAPPO,17,185.34782600402832,18700,-311.65,100.0,525.66,-837.31,-0.09207900779114829,-0.0627018274532424,2.9569271670447455,3.2029392772250707
完整SG-MAPPO,18,195.9207170009613,19800,-314.71,100.0,506.25,-820.96,-0.07749597330888112,-0.08533847530682882,3.0047738737530176,3.190768853823344
完整SG-MAPPO,19,206.39789485931396,20900,-329.93,100.0,522.07,-852.0,-0.07971370600991778,-0.07351081028787626,2.9041743728849623,3.2148070865207248
完整SG-MAPPO,20,216.9546558856964,22000,-345.29,100.0,523.72,-869.01,-0.07990172248747614,-0.087309439219017,2.8118220885594685,3.19600813653734
完整SG-MAPPO,21,227.27082180976868,23100,-321.64,100.0,475.89,-797.53,-0.08723145644697879,-0.06312448216162415,2.9736553986867267,3.168720523516337
完整SG-MAPPO,22,237.75798082351685,24200,-313.26,100.0,484.24,-797.5,-0.08954611896382024,-0.07265599103023608,2.9636449707878962,3.160255257288615
完整SG-MAPPO,23,248.18192887306213,25300,-257.45,100.0,433.7,-691.15,-0.06840849005513722,-0.0778856338519189,2.964169555240207,3.1231678379906547
完整SG-MAPPO,24,258.3652489185333,26400,-235.57,100.0,440.8,-676.37,-0.06634154609507985,-0.09731363770034578,2.952603811687893,3.0709780322180853
完整SG-MAPPO,25,268.6614499092102,27500,-230.68,100.0,435.74,-666.42,-0.07507801552613576,-0.052885138988494874,2.7299036423365277,3.0866851621203955
完整SG-MAPPO,26,279.21894884109497,28600,-251.5,100.0,472.46,-723.96,-0.1029600594813625,-0.05754666025750339,2.3727180189556547,3.1195827113257515
完整SG-MAPPO,27,289.4677879810333,29700,-278.51,100.0,533.11,-811.62,-0.08802569210529328,-0.05922241128153271,2.2261027812957765,3.1361644321017796
完整SG-MAPPO,28,299.82224774360657,30800,-276.29,100.0,539.49,-815.78,-0.10437722597271204,-0.05446705329749319,2.2171004401312935,3.1246926254696317
完整SG-MAPPO,29,310.2917799949646,31900,-287.66,100.0,566.62,-854.28,-0.07330311675452524,-0.06744768271843592,2.460101008415222,3.039215175310771
完整SG-MAPPO,30,320.8621850013733,33000,-266.05,100.0,564.97,-831.02,-0.07448338692386945,-0.08766867034137249,2.7118217481507196,2.9393074088626436
完整SG-MAPPO,31,331.1793282032013,34100,-295.31,100.0,609.01,-904.32,-0.10608648216972748,-0.03128732977848914,2.26691770752271,2.997643240292867
完整SG-MAPPO,32,341.4973204135895,35200,-305.26,100.0,638.02,-943.28,-0.06902688963390473,-0.06864158107071287,2.5414267314804926,2.862238065401713
完整SG-MAPPO,33,351.9190504550934,36300,-287.74,100.0,620.11,-907.85,-0.06619057183464368,-0.08487199909157223,2.7751474459966023,2.7741466257307263
