variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
Plain-MAPPO,1,9.117000102996826,1100,602.7272727272727,100.0,507.0,95.72727272727273,-0.025235858642392688,-0.01916987904243999,3.3718052208423615,3.379365530278948
Plain-MAPPO,2,18.489071130752563,2200,462.8181818181818,100.0,664.5,-201.6818181818182,-0.052495395169696875,-0.022112746102114517,3.335436542828878,3.355151136716207
Plain-MAPPO,3,27.431434631347656,3300,299.030303030303,100.0,831.0,-531.969696969697,-0.045056908844142325,-0.014929663286440902,3.2902303304937153,3.350959165228738
Plain-MAPPO,4,35.85208201408386,4400,270.02272727272725,100.0,814.5,-544.4772727272727,-0.05798686037047042,-0.031136295809927914,3.2936881913079157,3.3515419397089214
Plain-MAPPO,5,45.08256673812866,5500,227.98181818181817,100.0,838.2,-610.2181818181818,-0.05912606713051597,-0.02093560988497403,3.2950162258413105,3.333299550745222
Plain-MAPPO,6,53.72738337516785,6600,169.92424242424244,100.0,893.6666666666666,-723.7424242424242,-0.05356292048883107,-0.032701988601022296,3.2774292793538837,3.326224661535687
Plain-MAPPO,7,62.7162230014801,7700,142.84415584415584,100.0,913.2857142857143,-770.4415584415584,-0.04244648085700141,-0.0499847245713075,3.2045933769808874,3.219034049246046
Plain-MAPPO,8,71.2847261428833,8800,133.7159090909091,100.0,899.125,-765.4090909090909,-0.04031527798441756,-0.052235599193308085,3.1794979770978293,3.2626061836878457
Plain-MAPPO,9,80.06152772903442,9900,132.2020202020202,100.0,877.1111111111111,-744.9090909090909,-0.059367797777263656,-0.030034056916419003,3.1326529615455203,3.259094831016329
Plain-MAPPO,10,89.0582263469696,11000,81.22,100.0,910.91,-829.69,-0.0434015364282661,-0.04988792812865642,3.1337454153431787,3.261203987730874
Plain-MAPPO,11,97.9750463962555,12100,58.81,100.0,894.74,-835.93,-0.047323178292976484,-0.04000191080073515,3.1294259197182126,3.2220257851812573
Plain-MAPPO,12,106.64692234992981,13200,86.59,100.0,833.8,-747.21,-0.06747277370757526,-0.02696347360809644,3.09672874212265,3.2484278513325586
Plain-MAPPO,13,115.04479718208313,14300,100.06,100.0,802.45,-702.39,-0.0572972357687023,-0.04345903672381408,3.09471195936203,3.232568879922231
Plain-MAPPO,14,124.29854679107666,15400,101.27,100.0,801.24,-699.97,-0.09435942779398626,-0.001537045541529854,3.0110793511072793,3.191663874520196
Plain-MAPPO,15,133.33984112739563,16500,145.7,100.0,730.29,-584.59,-0.08625719272014168,-0.010327265701360173,3.0666186246607037,3.1801717711819544
Plain-MAPPO,16,142.26925826072693,17600,144.84,100.0,717.97,-573.13,-0.0736292949360278,-0.026726802073729534,2.9005259341663785,3.1804859009053974
Plain-MAPPO,17,151.3933699131012,18700,159.74,100.0,692.56,-532.82,-0.06427577696740627,-0.03711018504367934,2.9257446693049536,3.1631809373696647
Plain-MAPPO,18,159.80058479309082,19800,164.93,100.0,681.34,-516.41,-0.050851618107925683,-0.05113883006076018,2.799591879049937,3.0958006514443293
Plain-MAPPO,19,168.26164031028748,20900,160.89,100.0,662.31,-501.42,-0.05315829192598661,-0.03514991418665482,2.7864859435293408,3.068464457988739
Plain-MAPPO,20,177.25816535949707,22000,159.65,100.0,645.59,-485.94,-0.040950659869445696,-0.03888538179712163,2.698575188716253,3.0499260094430714
Plain-MAPPO,21,186.1384003162384,23100,186.31,100.0,610.61,-424.3,-0.07023665113633291,-0.0372232339060348,2.772813230752945,3.139675395356284
Plain-MAPPO,22,194.55891728401184,24200,201.58,100.0,587.84,-386.26,-0.07983781998821844,-0.03856178502448731,2.779083808263143,3.0894940528604717
Plain-MAPPO,23,203.2485806941986,25300,256.68,100.0,479.38,-222.7,-0.05340424542211824,-0.04507686311586036,2.799822873539395,3.0338845716582403
Plain-MAPPO,24,212.03088760375977,26400,276.55,100.0,444.73,-168.18,-0.01947888493951824,-0.056230091489851475,2.868443148003684,3.0512819389502206
Plain-MAPPO,25,220.64407324790955,27500,285.9,100.0,415.58,-129.68,-0.06424180510091698,-0.04762587687582709,2.759015964137183,3.05847586856948
Plain-MAPPO,26,229.69127011299133,28600,270.08,100.0,426.8,-156.72,-0.08180004782560799,-0.037413468442132905,2.568990550107426,3.1023243500126734
Plain-MAPPO,27,238.4875726699829,29700,245.3,100.0,455.18,-209.88,-0.06426357035525143,-0.03692769546372195,2.467382275395923,3.089229938056734
Plain-MAPPO,28,247.77022552490234,30800,246.45,100.0,450.45,-204.0,-0.06826190959610459,-0.037774091948651604,2.515224594208929,2.983112941185633
Plain-MAPPO,29,256.8541944026947,31900,234.88,100.0,465.3,-230.42,-0.0454811141308811,-0.049246942831410304,2.5432309922244816,3.031324439578586
Plain-MAPPO,30,266.0558834075928,33000,252.73,100.0,432.74,-180.01,-0.03864043586266538,-0.06702411423126857,2.63216879301601,2.8510374559296503
Plain-MAPPO,31,275.0336322784424,34100,225.18,100.0,463.21,-238.03,-0.07722767096775998,-0.02466251654550433,2.4348659449153476,3.017116669151518
Plain-MAPPO,32,283.91713428497314,35200,209.98,100.0,486.2,-276.22,-0.051485125389364034,-0.04900966871840259,2.5839269906282425,3.0141172442171307
Plain-MAPPO,33,293.0640187263489,36300,218.35,100.0,460.68,-242.33,-0.04961281311180857,-0.04777844400248594,2.736451076136695,2.986626466115316
Plain-MAPPO,34,303.0601704120636,37400,245.35,100.0,422.29,-176.94,-0.0626106167005168,-0.04819491940240065,2.541975181963709,2.9477417171001434
Plain-MAPPO,35,312.26997780799866,38500,289.53,100.0,355.63,-66.1,-0.028777144849300385,-0.055052836115161576,2.4721413486533694,2.9867228832509785
Plain-MAPPO,36,321.3156704902649,39600,322.04,100.0,304.04,18.0,-0.01818547211587429,-0.06551332978738679,2.350108914905124,2.80932578113344
Plain-MAPPO,37,330.39703130722046,40700,367.77,100.0,260.92,106.85,-0.06663424149155617,-0.038863596920337945,2.4505433258083134,2.9119037919574313
Plain-MAPPO,38,339.04866123199463,41800,390.94,100.0,220.55,170.39,-0.032827312437196575,-0.06476408829783192,2.2384015685982175,2.761122359169854
Plain-MAPPO,39,348.48816537857056,42900,340.46,100.0,276.54,63.92,-0.05992461078696781,-0.03543868971367677,2.183451314767202,2.9180816842450037
Plain-MAPPO,40,357.0720019340515,44000,372.38,100.0,220.55,151.83,-0.05981337299777402,-0.05191156014593111,2.607397586107254,2.7546987301773496
Plain-MAPPO,41,366.2506763935089,45100,317.74,100.0,281.49,36.25,-0.05494561791419983,-0.05222302799423536,2.0460215409596763,2.8404424521658154
Plain-MAPPO,42,375.03667426109314,46200,260.49,100.0,353.32,-92.83,-0.04804250070204338,-0.029926613076693483,2.029921572241518,2.9152850409348807
Plain-MAPPO,43,383.87372636795044,47300,229.55,100.0,361.9,-132.35,-0.029082152190514736,-0.049127343641076654,1.9413430194060008,2.814705719550451
Plain-MAPPO,44,392.4229419231415,48400,228.06,100.0,364.32,-136.26,-0.04654151739345656,-0.05434365456716882,2.468334259258376,2.673696686824163
Plain-MAPPO,45,401.50140619277954,49500,217.56,100.0,375.21,-157.65,-0.06931695497284333,-0.011413678837319216,1.7110078699058957,2.9193587965435452
Plain-MAPPO,46,410.8002781867981,50600,221.38,100.0,346.17,-124.79,-0.06276117156570156,-0.03959445655345917,1.9757251797450914,2.835709012216992
Plain-MAPPO,47,419.55448818206787,51700,221.3,100.0,350.46,-129.16,-0.06179442129925721,-0.03221695606286327,2.052754392226537,2.687526182995902
Plain-MAPPO,48,428.1467878818512,52800,239.13,100.0,306.9,-67.77,-0.061093524382967085,-0.0341571621182892,1.646954842739635,2.8153745068444147
Plain-MAPPO,49,437.390837430954,53900,217.25,100.0,335.72,-118.47,-0.04085006099194288,-0.048943823824326195,2.129488920999898,2.5837106307347617
Plain-MAPPO,50,446.37853932380676,55000,185.83,100.0,363.88,-178.05,-0.04612516104761097,-0.04219385743555096,1.4237914689713054,2.8204948041174145
Plain-MAPPO,51,455.4339871406555,56100,246.19,100.0,262.79,-16.6,-0.04774710639483399,-0.06374840148621136,2.3659900526205697,2.4574281771977744
Plain-MAPPO,52,463.966685295105,57200,243.82,100.0,267.08,-23.26,-0.061678667216458254,-0.016177761950530112,2.0354451802041797,2.6522969520754285
Plain-MAPPO,53,472.4751286506653,58300,248.32,100.0,250.8,-2.48,-0.05174453660017914,-0.053062332794070244,2.322790652513504,2.5973186095555625
Plain-MAPPO,54,481.390718460083,59400,271.29,100.0,207.79,63.5,-0.05261703069683992,-0.05292889951831765,1.9347282697757084,2.4543649752934775
Plain-MAPPO,55,490.4619038105011,60500,271.98,100.0,202.95,69.03,-0.0340612322712938,-0.04721325498798655,2.021632530623012,2.3816639251179166
Plain-MAPPO,56,499.31186389923096,61600,269.36,100.0,217.91,51.45,-0.024713661676893633,-0.06237602440847291,2.2147584607203803,2.341373927063412
Plain-MAPPO,57,508.33098578453064,62700,295.87,100.0,181.17,114.7,-0.06627754505542624,-0.04528164004700051,2.039999381535583,2.6518226299020977
Plain-MAPPO,58,517.2815344333649,63800,315.95,100.0,154.0,161.95,-0.06334526772196922,-0.047997793907092676,2.1835497890909514,2.496258149544398
Plain-MAPPO,59,526.15372133255,64900,351.22,100.0,85.91,265.31,-0.04013026071091493,-0.0520056558565961,1.975585263636377,2.4816293948226504
Plain-MAPPO,60,534.5638349056244,66000,334.43,100.0,135.96,198.47,-0.024249934979404014,-0.07183432408298056,2.0421862271096973,2.503136095073488
Plain-MAPPO,61,542.7956619262695,67100,349.09,100.0,111.54,237.55,-0.02564216943250762,-0.0685792016900248,2.0825528138213687,2.4314891911215253
Plain-MAPPO,62,551.6884326934814,68200,320.45,100.0,178.75,141.7,-0.04218965506717925,-0.041042256324241556,2.209968431128396,2.384801255332099
Plain-MAPPO,63,560.6105740070343,69300,342.24,100.0,130.79,211.45,-0.011308168020655608,-0.06949181854724884,2.2683897581365375,2.1211783157454596
Plain-MAPPO,64,569.0992374420166,70400,300.02,100.0,178.64,121.38,-0.02293636856807603,-0.0666272170169072,1.8835194119148784,2.5513807038466134
Plain-MAPPO,65,577.8161511421204,71500,291.56,100.0,224.84,66.72,-0.05741110226760308,-0.039631443926029734,1.7985743764373991,2.4343749748335943
Plain-MAPPO,66,586.8109443187714,72600,295.62,100.0,200.86,94.76,-0.05616039167378201,-0.031358021673642926,2.340783216059208,2.1328774756855435
Plain-MAPPO,67,596.0738041400909,73700,259.57,100.0,224.73,34.84,-0.04863169266738825,-0.036195905309998326,1.8022112515237596,2.3429630994796753
Plain-MAPPO,68,605.5814485549927,74800,236.56,100.0,313.06,-76.5,-0.02743390595747365,-0.06568337610224262,1.5591542306873534,2.414793456594149
Plain-MAPPO,69,614.748612165451,75900,217.45,100.0,330.33,-112.88,-0.06026608393424087,-0.012253364962008264,1.7389462797178163,2.3620899518330893
Plain-MAPPO,70,624.3038070201874,77000,256.06,100.0,304.37,-48.31,-0.017651053352488413,-0.06409920855528778,2.1984739783737393,2.0713175435860953
Plain-MAPPO,71,633.3017566204071,78100,265.46,100.0,263.45,2.01,-0.052786643979036145,-0.02419975544843409,2.1340970943371453,2.0750190052721234
Plain-MAPPO,72,642.4317698478699,79200,231.58,100.0,318.67,-87.09,-0.07952530992527802,-0.019779614690277312,1.9268979297743902,2.189825769927767
Plain-MAPPO,73,651.2357852458954,80300,272.37,100.0,280.06,-7.69,-0.037939165718853474,-0.04168447288167146,2.030589540799459,1.8194659352302551
Plain-MAPPO,74,659.8719551563263,81400,290.94,100.0,218.79,72.15,-0.052250135896934405,-0.03522659442387521,1.9811615943908691,2.001000228855345
Plain-MAPPO,75,669.0019183158875,82500,258.9,100.0,287.32,-28.42,-0.04248607779542605,-0.04124784842133522,1.6575609122713406,2.2729672375652523
Plain-MAPPO,76,677.603698015213,83600,258.62,100.0,312.84,-54.22,-0.012200012596117126,-0.06636331499450737,1.5975367898742359,1.8375576386849086
Plain-MAPPO,77,686.7086684703827,84700,239.2,100.0,333.3,-94.1,-0.06224241107702255,-0.013394689575458566,1.074295789624254,2.4602902200486927
Plain-MAPPO,78,695.4802236557007,85800,298.8,100.0,242.99,55.81,-0.004627517734964688,-0.040114074324568115,2.137490187668138,1.4413021786345377
Plain-MAPPO,79,704.1724243164062,86900,219.89,100.0,338.25,-118.36,-0.02925593733218395,-0.048288767950402364,1.1041540735297732,2.3175016972753735
Plain-MAPPO,80,713.0654125213623,88000,222.92,100.0,327.8,-104.88,-0.003045370802283287,-0.07039489436687695,1.6737889639205403,1.5779256025950115
Plain-MAPPO,81,721.8071920871735,89100,278.86,100.0,278.19,0.67,-0.06749006960954931,-0.02464135384394063,2.257446779972977,1.3351930860016081
Plain-MAPPO,82,730.7928700447083,90200,262.52,100.0,281.71,-19.19,-0.036564122471544475,-0.047062738695078425,1.5278173974818654,1.9208789947960112
Plain-MAPPO,83,739.6109941005707,91300,254.59,100.0,261.03,-6.44,-0.03460956861575445,-0.04786186541120211,1.5416170967121918,1.7976720275150404
Plain-MAPPO,84,748.5225515365601,92400,277.04,100.0,183.48,93.56,-0.024967228165931173,-0.04999086767848995,1.8980849458732538,1.5859987048639193
Plain-MAPPO,85,757.45791888237,93500,315.71,100.0,99.22,216.49,-0.01863230744169818,-0.054814539435837,2.128635941280259,1.557377801173263
Plain-MAPPO,86,765.9869482517242,94600,383.59,100.0,-35.31,418.9,-0.020300033463475604,-0.0553723561267058,1.904349549776978,1.6185409848888714
Plain-MAPPO,87,774.7339236736298,95700,359.42,100.0,-25.63,385.05,-0.026570909190922976,-0.03160876263346937,1.6740978608528774,1.5972529359989696
Plain-MAPPO,88,783.3600289821625,96800,405.01,100.0,-130.35,535.36,-0.011109961843531992,-0.054591121022692986,1.8566293062435255,1.6450963848166995
Plain-MAPPO,89,791.8603932857513,97900,413.39,100.0,-149.82,563.21,-0.0012629486930867035,-0.06435577302343315,1.7595749710583024,1.5518060011996164
Plain-MAPPO,90,800.488719701767,99000,378.39,100.0,-164.45,542.84,-0.03074148545662562,-0.041218803180122957,1.5077170773098867,1.6656427184740703
Plain-MAPPO,91,809.2009379863739,100100,413.01,100.0,-186.45,599.46,-0.036424954835739404,-0.04164038236356444,1.9853764275709789,1.4157372526824474
Plain-MAPPO,92,817.6976268291473,101200,437.75,100.0,-189.42,627.17,-0.03316387627273798,-0.037886547571462065,1.6565615725186136,1.5476076776782672
Plain-MAPPO,93,826.6892640590668,102300,441.36,100.0,-203.72,645.08,-0.0108434508761598,-0.08112233018295632,1.9588199853897095,1.472173081503974
Plain-MAPPO,94,835.7729530334473,103400,428.02,100.0,-175.89,603.91,-0.0037653978086180156,-0.06128361696998278,1.7107503256864018,1.4248612200220425
Plain-MAPPO,95,844.4265012741089,104500,438.07,100.0,-194.26,632.33,-0.02120249532163143,-0.054026060194397964,1.4536251868638728,1.6650806665420532
Plain-MAPPO,96,853.0377881526947,105600,479.77,100.0,-208.34,688.11,-0.04313274576432175,-0.035316080786287785,1.9473093135489359,1.201982769701216
Plain-MAPPO,97,861.7771651744843,106700,422.5,100.0,-147.62,570.12,-0.025262540206313133,-0.038579779392522245,1.0992157156579196,1.8585360174377759
Plain-MAPPO,98,870.6138880252838,107800,426.41,100.0,-147.51,573.92,-0.03964641048676438,-0.031533676678211324,1.648325973500808,1.3591790211697419
Plain-MAPPO,99,879.5521683692932,108900,436.56,100.0,-172.59,609.15,0.008575661107897758,-0.06510557968997294,1.4876485139959388,1.4428975250985887
Plain-MAPPO,100,888.2100389003754,110000,384.52,100.0,-101.75,486.27,-0.029758235750099022,-0.038885021271804966,1.0811158358119428,1.9725430972046323
Plain-MAPPO,101,897.1481812000275,111100,393.81,100.0,-104.94,498.75,-0.0257919000254737,-0.037516081084807716,1.7639400474727154,1.634806705845727
Plain-MAPPO,102,905.8299219608307,112200,359.14,100.0,-19.91,379.05,-0.026106058387085795,-0.0399182656676405,1.5763108297768567,1.671570411986775
Plain-MAPPO,103,914.3491508960724,113300,362.32,100.0,13.42,348.9,-0.004332773769015653,-0.05711074214842585,2.0427791509363384,1.2124672469993432
Plain-MAPPO,104,923.4591591358185,114400,392.78,100.0,5.61,387.17,0.0007694912039571338,-0.05946751658080353,2.120973639190197,1.3770889813701312
Plain-MAPPO,105,932.2575223445892,115500,368.64,100.0,39.27,329.37,0.002420247428947025,-0.05692201418181261,1.7798070969680946,1.427490260038111
Plain-MAPPO,106,940.8295693397522,116600,397.6,100.0,13.31,384.29,-0.04678377943734328,-0.02783936601028674,1.7401184563835461,1.6261455698145761
Plain-MAPPO,107,949.3473603725433,117700,395.5,100.0,22.44,373.06,-0.03209947173794111,-0.026454406066073313,1.5066526407479413,1.4547697943117883
