variant_name,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy
SG-MAA2C-style,1,5.75956130027771,1050,3.761904761904762,50.0,78.28571428571429,-74.52380952380952,0.0800622864626348,-0.08133949944749475,3.3294000923633575,3.3524831533432007
SG-MAA2C-style,2,11.531414270401001,2100,-94.76190476190476,50.0,156.78571428571428,-251.54761904761904,-0.10890003480017185,0.12920786067843437,3.089632034301758,3.2327837347984314
SG-MAA2C-style,3,17.249515533447266,3150,-131.28571428571428,50.0,182.31746031746033,-313.6031746031746,-0.11793641373515129,0.10044104233384132,3.05667507648468,3.2132401764392853
SG-MAA2C-style,4,23.02372455596924,4200,-153.72619047619048,50.0,220.64285714285714,-374.3690476190476,-0.1495890793739818,0.12119278794853017,2.9988248348236084,3.2153379023075104
SG-MAA2C-style,5,28.761524438858032,5250,-168.91,50.0,246.72,-415.63,0.058743991889059544,-0.07920088618993759,3.03444242477417,3.2747194468975067
SG-MAA2C-style,6,34.501821517944336,6300,-176.05,50.0,270.7,-446.75,0.04453235026448965,-0.030175440944731236,3.123899817466736,3.1917322278022766
SG-MAA2C-style,7,40.40239858627319,7350,-165.94,50.0,297.89,-463.83,-0.026423022150993347,-0.033258707262575626,3.110494554042816,3.0651573538780212
SG-MAA2C-style,8,46.206204652786255,8400,-118.27,50.0,285.27,-403.54,0.016686223447322845,-0.006405944004654884,3.2163125872612,2.978743761777878
SG-MAA2C-style,9,52.10976266860962,9450,-96.53,50.0,277.75,-374.28,-0.05586505215615034,0.02977711893618107,3.261744260787964,2.9243063032627106
SG-MAA2C-style,10,58.09130859375,10500,-75.34,50.0,281.32,-356.66,0.05783744342625141,-0.054965132381767035,3.1708890199661255,2.803626388311386
SG-MAA2C-style,11,63.84450650215149,11550,-38.01,50.0,281.9,-319.91,-0.05660120723769069,0.12575895339250565,3.1374473869800568,2.662609100341797
SG-MAA2C-style,12,69.61850047111511,12600,12.85,50.0,265.17,-252.32,0.08857444650493562,-0.04354138928465545,2.942339390516281,2.6833378672599792
SG-MAA2C-style,13,75.36200332641602,13650,51.07,50.0,261.85,-210.78,0.03942595818080008,-0.1748022586107254,2.873578727245331,2.6902207136154175
SG-MAA2C-style,14,81.17647123336792,14700,29.1,50.0,258.42,-229.32,-0.0015583299100399017,0.009554830205161124,2.7660496830940247,2.6794731318950653
SG-MAA2C-style,15,86.8991711139679,15750,22.36,50.0,255.25,-232.89,-0.021560504101216793,-0.06406660750508308,2.819165289402008,2.624913275241852
SG-MAA2C-style,16,92.68491625785828,16800,17.25,50.0,249.6,-232.35,-0.019576523452997208,0.011073647066950798,2.8064940869808197,2.4690244793891907
SG-MAA2C-style,17,98.44416832923889,17850,29.71,50.0,263.83,-234.12,-0.09162296610884368,-0.011160297319293022,2.8769023418426514,2.212299019098282
SG-MAA2C-style,18,104.18468356132507,18900,68.54,50.0,264.28,-195.74,-0.04017119761556387,-0.07557235099375248,2.819321781396866,1.9977846294641495
SG-MAA2C-style,19,109.94125127792358,19950,109.45,50.0,263.25,-153.8,0.031939356587827206,0.009752588346600533,2.6877947747707367,1.922373354434967
SG-MAA2C-style,20,115.69069337844849,21000,164.41,50.0,271.74,-107.33,-0.024510917952284217,-0.04674721136689186,2.5536535680294037,1.824170559644699
SG-MAA2C-style,21,121.44196105003357,22050,162.08,50.0,272.48,-110.4,-0.012524901889264584,0.00802552979439497,2.3351167142391205,1.7143628895282745
SG-MAA2C-style,22,127.16098117828369,23100,118.01,50.0,257.66,-139.65,0.07545897085219622,0.13916682079434395,2.238112598657608,1.6265005022287369
SG-MAA2C-style,23,132.91326713562012,24150,103.6,50.0,248.78,-145.18,0.00797144416719675,0.04753445368260145,2.320443332195282,1.4408849030733109
SG-MAA2C-style,24,138.69479131698608,25200,109.67,50.0,240.73,-131.06,0.020886244252324104,0.06725553330034018,2.2403045892715454,1.1698413640260696
SG-MAA2C-style,25,144.4202175140381,26250,127.21,50.0,246.82,-119.61,-0.1621714010834694,-0.11953647807240486,2.18939870595932,1.0001504942774773
SG-MAA2C-style,26,150.1924204826355,27300,124.9,50.0,225.71,-100.81,-0.033686015754938126,-0.0835957364179194,2.032710313796997,0.9012876972556114
SG-MAA2C-style,27,155.93233180046082,28350,149.01,50.0,227.73,-78.72,-0.035802798345685005,0.07630909653380513,1.949107050895691,0.8536598533391953
SG-MAA2C-style,28,161.7058458328247,29400,155.11,50.0,220.1,-64.99,-0.11728674726327881,-0.16480458341538906,1.959882840514183,0.7619986906647682
SG-MAA2C-style,29,167.4991328716278,30450,161.43,50.0,214.16,-52.73,0.0712063608225435,-0.04039190406911075,1.9834596365690231,0.6990512683987617
SG-MAA2C-style,30,173.24068069458008,31500,180.21,50.0,221.11,-40.9,-0.12415995541960001,-0.014038779074326158,2.072034075856209,0.6568844243884087
