episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,1,0,0.5,0.9236561059951782,0.26901736855506897
0,0,1,0,1,0,0.5,0.7271407246589661,0.22705215215682983
0,0,2,0,1,1,0.5,0.8495026230812073,0.7205353379249573
0,0,3,1,1,1,0.5,0.8653386831283569,0.6799439191818237
0,0,4,1,0,0,0.5,0.42963907122612,0.3643537759780884
0,1,0,0,1,1,0.20000000298023224,0.8886552453041077,0.8386512398719788
0,1,1,0,0,1,0.20000000298023224,0.13546891510486603,0.6425861120223999
0,1,2,0,1,1,0.20000000298023224,0.7840338349342346,0.6170939803123474
0,1,3,1,1,1,0.20000000298023224,0.9810228943824768,0.9108208417892456
0,1,4,1,0,0,0.800000011920929,0.15098252892494202,0.39964616298675537
0,2,0,0,1,1,0.09734101593494415,0.7980478405952454,0.6314735412597656
0,2,1,0,0,0,0.6330826282501221,0.19034290313720703,0.13050952553749084
0,2,2,0,1,1,0.09734101593494415,0.725479006767273,0.7947142720222473
0,2,3,1,1,1,0.09734101593494415,0.9636918306350708,0.903100311756134
0,2,4,1,0,0,0.902658998966217,0.30091339349746704,0.2618616819381714
0,3,0,0,1,0,0.060818564146757126,0.8629503846168518,0.4026486575603485
0,3,1,0,0,0,0.847759485244751,0.23860080540180206,0.1034354418516159
0,3,2,0,1,1,0.060818564146757126,0.5415388345718384,0.8426982164382935
0,3,3,1,1,0,0.060818564146757126,0.9798738360404968,0.4408308267593384
0,3,4,1,0,0,0.9391814470291138,0.12790556252002716,0.3054428696632385
0,4,0,0,1,0,0.04537151753902435,0.9374284744262695,0.37231388688087463
0,4,1,0,0,0,0.9189220070838928,0.38048261404037476,0.1423996239900589
0,4,2,0,1,1,0.04537151753902435,0.8844547867774963,0.6365037560462952
0,4,3,1,1,1,0.04537151753902435,0.9683952927589417,0.7008892893791199
0,4,4,1,0,0,0.9546284675598145,0.30604851245880127,0.339836448431015
0,5,0,0,1,1,0.03790419548749924,0.9406497478485107,0.6680697202682495
0,5,1,0,0,1,0.9457729458808899,0.16801230609416962,0.6893117427825928
0,5,2,0,1,1,0.03790419548749924,0.7663775682449341,0.842828094959259
0,5,3,1,1,1,0.03790419548749924,0.9420889616012573,0.5954171419143677
0,5,4,1,0,0,0.9620957970619202,0.023503877222537994,0.14992615580558777
0,6,0,0,1,0,0.033965762704610825,0.8253515362739563,0.3771761655807495
0,6,1,0,0,1,0.9577206969261169,0.3955896198749542,0.561043381690979
0,6,2,0,0,1,0.033965762704610825,0.4148064851760864,0.789242684841156
0,6,3,1,1,0,0.033965762704610825,0.8719762563705444,0.41996484994888306
0,6,4,1,0,0,0.9660342335700989,0.3579326272010803,0.1466718465089798
0,7,0,0,1,0,0.03177250549197197,0.677782416343689,0.04466007277369499
0,7,1,0,1,0,0.963695228099823,0.9641429781913757,0.4339635372161865
0,7,2,0,1,0,0.3442803621292114,0.9146029949188232,0.2853388786315918
0,7,3,1,1,0,0.03177250549197197,0.9226075410842896,0.45173436403274536
0,7,4,1,0,1,0.9682275056838989,0.20305465161800385,0.6108812689781189
0,8,0,0,1,0,0.03050963021814823,0.9358219504356384,0.047193847596645355
0,8,1,0,1,0,0.6462085247039795,0.9734635353088379,0.4616219103336334
0,8,2,0,1,0,0.14466553926467896,0.8338255882263184,0.35875749588012695
0,8,3,1,1,1,0.03050963021814823,0.6962380409240723,0.7736508250236511
0,8,4,1,0,1,0.9694903492927551,0.0554967038333416,0.6074630618095398
