episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,0,0,0.5,0.12857380509376526,0.27498412132263184
0,0,1,0,0,1,0.5,0.37236353754997253,0.5827249884605408
0,0,2,0,1,0,0.5,0.7594257593154907,0.25005778670310974
0,0,3,1,0,1,0.5,0.23204654455184937,0.7634070515632629
0,0,4,1,0,0,0.5,0.2835969030857086,0.3034530580043793
0,1,0,0,0,0,0.800000011920929,0.039960213005542755,0.34439316391944885
0,1,1,0,0,0,0.800000011920929,0.07216940075159073,0.42968466877937317
0,1,2,0,1,0,0.20000000298023224,0.9020029902458191,0.3671138882637024
0,1,3,1,0,1,0.800000011920929,0.1479364037513733,0.7516252994537354
0,1,4,1,0,0,0.800000011920929,0.045244231820106506,0.3832593262195587
0,2,0,0,0,0,0.902658998966217,0.012888572178781033,0.36631566286087036
0,2,1,0,0,0,0.902658998966217,0.018655473366379738,0.34199953079223633
0,2,2,0,1,0,0.09734101593494415,0.9077630043029785,0.3960522711277008
0,2,3,1,0,1,0.902658998966217,0.07131507247686386,0.6481339931488037
0,2,4,1,0,1,0.902658998966217,0.07003434747457504,0.6741705536842346
0,3,0,0,0,0,0.9391814470291138,0.005477255675941706,0.29330137372016907
0,3,1,0,0,0,0.9391814470291138,0.005562721285969019,0.17769686877727509
0,3,2,0,1,0,0.060818564146757126,0.9677216410636902,0.4412456154823303
0,3,3,1,0,1,0.9391814470291138,0.022053439170122147,0.6824770569801331
0,3,4,1,0,1,0.9391814470291138,0.1226358637213707,0.8047319054603577
0,4,0,0,0,0,0.9546284675598145,0.004340168088674545,0.2529445290565491
0,4,1,0,0,0,0.9546284675598145,0.0033173207193613052,0.11798844486474991
0,4,2,0,1,0,0.04537151753902435,0.9884786009788513,0.42809948325157166
0,4,3,1,0,1,0.9546284675598145,0.021775728091597557,0.5781232118606567
0,4,4,1,0,1,0.9546284675598145,0.09417804330587387,0.855375349521637
0,5,0,0,0,0,0.9620957970619202,0.004072784446179867,0.2747587263584137
0,5,1,0,0,0,0.9620957970619202,0.0022565724793821573,0.13269391655921936
0,5,2,0,1,0,0.03790419548749924,0.9938401579856873,0.45945507287979126
0,5,3,1,0,0,0.9620957970619202,0.01913737878203392,0.4481259882450104
0,5,4,1,0,1,0.9620957970619202,0.06426377594470978,0.8958543539047241
0,6,0,0,0,0,0.9660342335700989,0.004569279029965401,0.20343761146068573
0,6,1,0,0,0,0.9660342335700989,0.0036098251584917307,0.21007908880710602
0,6,2,0,1,1,0.033965762704610825,0.9905283451080322,0.5548731684684753
0,6,3,1,0,0,0.9660342335700989,0.019827311858534813,0.43004605174064636
0,6,4,1,0,1,0.9660342335700989,0.10151416063308716,0.8022412061691284
0,7,0,0,0,0,0.9682275056838989,0.0031057423911988735,0.18766428530216217
0,7,1,0,0,0,0.9682275056838989,0.004405185580253601,0.24725040793418884
0,7,2,0,1,1,0.03177250549197197,0.9738527536392212,0.6656394600868225
0,7,3,1,0,0,0.9682275056838989,0.03308279067277908,0.4441511631011963
0,7,4,1,0,1,0.9682275056838989,0.11724823713302612,0.7249063849449158
0,8,0,0,0,0,0.9694903492927551,0.0036102780140936375,0.21031613647937775
0,8,1,0,0,0,0.9694903492927551,0.003149633063003421,0.22824405133724213
0,8,2,0,1,1,0.03050963021814823,0.9700029492378235,0.651360809803009
0,8,3,1,0,0,0.9694903492927551,0.04685087502002716,0.3034731149673462
0,8,4,1,0,1,0.9694903492927551,0.09806578606367111,0.7851789593696594
0,9,0,0,0,0,0.9702324867248535,0.003212540876120329,0.23678946495056152
0,9,1,0,0,0,0.9702324867248535,0.0028482337947934866,0.28421616554260254
0,9,2,0,1,1,0.029767485335469246,0.9702272415161133,0.6904335021972656
0,9,3,1,0,0,0.9702324867248535,0.04362748935818672,0.41462022066116333
0,9,4,1,0,1,0.9702324867248535,0.10192399471998215,0.7437062859535217
0,10,0,0,0,0,0.9706740975379944,0.0031480134930461645,0.1982222944498062
0,10,1,0,0,0,0.9706740975379944,0.002448387211188674,0.26558995246887207
0,10,2,0,1,1,0.029325908049941063,0.9839920401573181,0.6575194597244263
0,10,3,1,0,0,0.9706740975379944,0.03482987731695175,0.4874451756477356
0,10,4,1,0,1,0.9706740975379944,0.07870923727750778,0.6572120785713196
0,11,0,0,0,0,0.9709388017654419,0.0031799450516700745,0.19113729894161224
0,11,1,0,0,0,0.9709388017654419,0.0024152544792741537,0.2926832437515259
0,11,2,0,1,1,0.029061181470751762,0.9869983792304993,0.5550456643104553
0,11,3,1,0,0,0.9709388017654419,0.02764563076198101,0.48941338062286377
0,11,4,1,0,1,0.9709388017654419,0.0857948362827301,0.6513986587524414
0,12,0,0,0,0,0.9710982441902161,0.003188311355188489,0.25348469614982605
0,12,1,0,0,0,0.9710982441902161,0.0022212848998606205,0.2695377469062805
0,12,2,0,1,1,0.02890174649655819,0.9917607307434082,0.5321987271308899
0,12,3,1,0,1,0.9710982441902161,0.023006077855825424,0.5038840770721436
0,12,4,1,0,1,0.9710982441902161,0.08107922226190567,0.7659770250320435
0,13,0,0,0,0,0.9711945652961731,0.0029130589682608843,0.3098714351654053
0,13,1,0,0,0,0.9711945652961731,0.0014049875317141414,0.3290419280529022
0,13,2,0,1,0,0.028805458918213844,0.9911925196647644,0.49955496191978455
0,13,3,1,0,1,0.9711945652961731,0.026429567486047745,0.5961160063743591
0,13,4,1,0,1,0.9711945652961731,0.06167951226234436,0.8141421675682068
0,14,0,0,0,0,0.9712527990341187,0.003357039066031575,0.3079878091812134
0,14,1,0,0,0,0.9712527990341187,0.0009379680850543082,0.38818591833114624
0,14,2,0,1,0,0.028747208416461945,0.991908609867096,0.413107305765152
0,14,3,1,0,1,0.9712527990341187,0.016323337331414223,0.5598056316375732
0,14,4,1,0,1,0.9712527990341187,0.03632190823554993,0.8661625981330872
0,15,0,0,0,0,0.9712880849838257,0.0019173311302438378,0.42669081687927246
0,15,1,0,0,0,0.9712880849838257,0.0008069643517956138,0.3435231149196625
0,15,2,0,1,0,0.02871193364262581,0.9875641465187073,0.3857628405094147
0,15,3,1,0,1,0.9712880849838257,0.016243090853095055,0.62795490026474
0,15,4,1,0,1,0.9712880849838257,0.03318404778838158,0.8652516603469849
0,16,0,0,0,0,0.9713094234466553,0.0013027540408074856,0.412648469209671
0,16,1,0,0,0,0.9713094234466553,0.0006582624628208578,0.2966097593307495
0,16,2,0,1,0,0.028690557926893234,0.9876625537872314,0.3431939482688904
0,16,3,1,0,1,0.9713094234466553,0.014310553669929504,0.7274643182754517
0,16,4,1,0,1,0.9713094234466553,0.03253866359591484,0.8388729691505432
