episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack
0,0,0,0,0,1,0.5,0.00529138371348381,0.7916749119758606
0,0,1,0,0,0,0.5,0.013709244318306446,0.4628453552722931
0,0,2,0,0,1,0.5,0.416015625,0.6411955952644348
0,0,3,1,1,0,0.5,0.5624613761901855,0.36399564146995544
0,0,4,1,0,1,0.5,0.13730940222740173,0.9431362152099609
0,1,0,0,0,0,0.800000011920929,0.0055115786381065845,0.007654253859072924
0,1,1,0,0,0,0.800000011920929,0.006446239072829485,0.0012391224736347795
0,1,2,0,0,0,0.800000011920929,0.2771529257297516,0.02025941014289856
0,1,3,1,1,1,0.20000000298023224,0.6823774576187134,0.9880585074424744
0,1,4,1,1,0,0.800000011920929,0.5107102990150452,0.03416450321674347
0,2,0,0,0,0,0.902658998966217,0.0002367582346778363,0.001565968501381576
0,2,1,0,0,0,0.902658998966217,0.0008015086641535163,0.0002218887093476951
0,2,2,0,0,0,0.902658998966217,0.03087509796023369,0.00021968132932670414
0,2,3,1,0,1,0.09734101593494415,0.01666516438126564,0.9990654587745667
0,2,4,1,0,1,0.36691737174987793,0.39269760251045227,0.9975311160087585
0,3,0,0,0,0,0.9391814470291138,7.64537398936227e-05,0.00018317365902476013
0,3,1,0,0,0,0.9391814470291138,0.0002351755101699382,3.147134339087643e-05
0,3,2,0,0,0,0.9391814470291138,0.023629115894436836,0.0026369034312665462
0,3,3,1,0,1,0.5088678598403931,0.031983476132154465,0.9998742341995239
0,3,4,1,1,0,0.741820752620697,0.7301908731460571,0.016953380778431892
0,4,0,0,0,0,0.9546284675598145,5.255034557194449e-05,0.0014948592288419604
0,4,1,0,0,0,0.9546284675598145,0.00023221543233375996,0.00021855064551346004
0,4,2,0,0,0,0.9546284675598145,0.0025925450026988983,0.0013740308349952102
0,4,3,1,0,1,0.8034204840660095,0.00357049354352057,0.9985376596450806
0,4,4,1,1,1,0.3216652572154999,0.7834939956665039,0.9980066418647766
0,5,0,0,0,0,0.9620957970619202,4.6603545342804864e-05,0.0066990926861763
0,5,1,0,0,0,0.9620957970619202,0.00023740361211821437,0.0007143400725908577
0,5,2,0,0,0,0.9620957970619202,0.007180878892540932,0.00400369381532073
0,5,3,1,0,1,0.9037996530532837,0.004949115216732025,0.9985394477844238
0,5,4,1,1,1,0.13718798756599426,0.9807714819908142,0.9951292276382446
0,6,0,0,0,0,0.9660342335700989,7.795781857566908e-05,0.03623603656888008
0,6,1,0,0,0,0.9660342335700989,0.0001968495053006336,0.010177609510719776
0,6,2,0,0,0,0.9660342335700989,0.0009572491981089115,0.005625677760690451
0,6,3,1,0,1,0.939631998538971,0.0035019838251173496,0.9867664575576782
0,6,4,1,1,1,0.07574538141489029,0.9958772659301758,0.9918176531791687
0,7,0,0,0,0,0.9682275056838989,7.856770389480516e-05,0.035468678921461105
0,7,1,0,0,0,0.9682275056838989,0.00034198537468910217,0.005570397246629
0,7,2,0,0,0,0.9682275056838989,0.0007799006998538971,0.014228745363652706
